t,stamp,mug_1,mug_2,bowl_1,bowl_2,plate_1,plate_2,laptop_1,laptop_2,phone_1,phone_2,keys_1,keys_2,book_1,book_2,water_bottle_1,water_bottle_2,backpack_1,backpack_2,jacket_1,jacket_2,charger_1,charger_2,notebook_1,pen_1,medication_bottle_1,toy_1,toy_2,blanket_1,blanket_2,dog_leash_1,towel_1,towel_2,wallet_1,wallet_2,umbrella_1,remote_1,headphones_1,lunchbox_1,lunchbox_2,gaming_controller_1
0,d00 Mon 00:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
60,d00 Mon 01:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
120,d00 Mon 02:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
180,d00 Mon 03:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
240,d00 Mon 04:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
300,d00 Mon 05:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
360,d00 Mon 06:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
420,d00 Mon 07:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
480,d00 Mon 08:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
540,d00 Mon 09:00,kitchen,bedroom_2,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,outside,outside,entry,entry,living,living,living,kitchen,entry,entry,kitchen,entry,kitchen,bedroom_2,kitchen,kitchen,bathroom,bedroom_3,living,living,living,entry,bathroom,bathroom,entry,bedroom_2,entry,living,kitchen,kitchen,kitchen,living
