t,stamp,mug_1,bowl_1,phone_1,keys_1,water_bottle_1,book_1,blanket_1,laptop_1
0,d00 Mon 00:00,kitchen,kitchen,outside,kitchen,kitchen,living,living,living
60,d00 Mon 01:00,kitchen,kitchen,outside,kitchen,kitchen,living,living,living
120,d00 Mon 02:00,kitchen,kitchen,outside,kitchen,kitchen,living,living,living
180,d00 Mon 03:00,kitchen,kitchen,outside,kitchen,kitchen,living,living,living
240,d00 Mon 04:00,kitchen,kitchen,outside,kitchen,kitchen,living,living,living
300,d00 Mon 05:00,kitchen,kitchen,outside,kitchen,kitchen,living,living,living
360,d00 Mon 06:00,kitchen,kitchen,outside,kitchen,kitchen,living,living,living
420,d00 Mon 07:00,kitchen,kitchen,outside,kitchen,kitchen,living,living,living
480,d00 Mon 08:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
540,d00 Mon 09:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
600,d00 Mon 10:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
660,d00 Mon 11:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
720,d00 Mon 12:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
780,d00 Mon 13:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
840,d00 Mon 14:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
900,d00 Mon 15:00,kitchen,kitchen,bedroom,kitchen,kitchen,living,living,living
960,d00 Mon 16:00,kitchen,kitchen,bathroom,kitchen,kitchen,living,living,living
1020,d00 Mon 17:00,kitchen,kitchen,bathroom,kitchen,living,living,living,living
1080,d00 Mon 18:00,kitchen,kitchen,outside,outside,living,living,living,living
1140,d00 Mon 19:00,kitchen,kitchen,outside,outside,living,living,living,living
1200,d00 Mon 20:00,kitchen,kitchen,outside,outside,living,living,living,living
1260,d00 Mon 21:00,kitchen,kitchen,outside,outside,living,living,living,living
1320,d00 Mon 22:00,kitchen,kitchen,outside,outside,living,living,living,living
1380,d00 Mon 23:00,kitchen,kitchen,outside,outside,living,living,living,living
1440,d01 Tue 00:00,kitchen,kitchen,outside,outside,living,living,living,living
1500,d01 Tue 01:00,kitchen,kitchen,outside,outside,living,living,living,living
1560,d01 Tue 02:00,kitchen,kitchen,outside,outside,living,living,living,living
1620,d01 Tue 03:00,kitchen,kitchen,outside,outside,living,living,living,living
1680,d01 Tue 04:00,kitchen,kitchen,outside,outside,living,living,living,living
1740,d01 Tue 05:00,kitchen,kitchen,outside,outside,living,living,living,living
1800,d01 Tue 06:00,kitchen,kitchen,outside,outside,living,living,living,living
1860,d01 Tue 07:00,kitchen,kitchen,outside,kitchen,living,living,living,living
