t,stamp,mug_1,mug_2,bowl_1,plate_1,laptop_1,phone_1,phone_2,keys_1,keys_2,book_1,water_bottle_1,water_bottle_2,remote_1,charger_1,jacket_1,jacket_2,glasses_1,glasses_2,medication_bottle_1,blanket_1,towel_1,umbrella_1
0,d00 Mon 00:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
60,d00 Mon 01:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
120,d00 Mon 02:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
180,d00 Mon 03:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
240,d00 Mon 04:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
300,d00 Mon 05:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
360,d00 Mon 06:00,kitchen,living,kitchen,kitchen,kitchen,bedroom_1,bedroom_2,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,living,bedroom_1,living,kitchen,living,kitchen,entry
420,d00 Mon 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,entry,living,bedroom_1,kitchen,living,bedroom_1,entry,bedroom_2,kitchen,living,kitchen,living,kitchen,entry
480,d00 Mon 08:00,kitchen,kitchen,kitchen,kitchen,kitchen,living,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,bedroom_1,kitchen,kitchen,living,kitchen,kitchen,living,kitchen,entry
540,d00 Mon 09:00,kitchen,living,kitchen,kitchen,kitchen,outside,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,outside,living,kitchen,living,kitchen,entry
600,d00 Mon 10:00,kitchen,living,kitchen,kitchen,kitchen,outside,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,outside,living,kitchen,living,kitchen,entry
660,d00 Mon 11:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
720,d00 Mon 12:00,kitchen,living,kitchen,kitchen,kitchen,living,kitchen,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
780,d00 Mon 13:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
840,d00 Mon 14:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
900,d00 Mon 15:00,kitchen,living,kitchen,kitchen,kitchen,living,outside,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
960,d00 Mon 16:00,kitchen,living,kitchen,kitchen,kitchen,living,living,entry,entry,living,bedroom_1,living,living,bedroom_1,entry,kitchen,living,living,kitchen,living,kitchen,entry
