t,stamp,mug_1,mug_2,mug_3,mug_4,laptop_1,phone_1,phone_2,keys_1,keys_2,book_1,book_2,water_bottle_1,remote_1,charger_1,backpack_1,jacket_1,headphones_1,glasses_1,notebook_1,pen_1,toy_1,blanket_1,towel_1,lunchbox_1,wallet_1,wallet_2
0,d00 Mon 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,entry,living,living,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
60,d00 Mon 01:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,entry,living,living,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
120,d00 Mon 02:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,entry,living,living,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
180,d00 Mon 03:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,entry,living,living,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
240,d00 Mon 04:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,entry,living,living,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
300,d00 Mon 05:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,entry,living,living,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
360,d00 Mon 06:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,entry,living,living,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
420,d00 Mon 07:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,entry,living,living,kitchen,living,bedroom_1,entry,entry,bedroom_1,bedroom_2,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,entry,kitchen
480,d00 Mon 08:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,living,kitchen,living,kitchen,living,outside,outside,bedroom_2,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,outside,outside
540,d00 Mon 09:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,living,kitchen,living,kitchen,living,outside,outside,bedroom_2,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,outside,outside
600,d00 Mon 10:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,living,kitchen,living,kitchen,living,outside,outside,bedroom_2,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,outside,outside
660,d00 Mon 11:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,living,kitchen,living,kitchen,living,outside,outside,bedroom_2,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,outside,outside
720,d00 Mon 12:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,living,kitchen,living,kitchen,living,outside,outside,bedroom_2,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,outside,outside
780,d00 Mon 13:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,living,kitchen,living,kitchen,living,outside,outside,bedroom_2,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,outside,outside
840,d00 Mon 14:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,living,kitchen,living,kitchen,living,outside,outside,bedroom_2,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,outside,outside
900,d00 Mon 15:00,kitchen,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,living,living,kitchen,living,kitchen,living,outside,outside,bedroom_2,kitchen,kitchen,kitchen,bedroom_3,kitchen,kitchen,outside,outside
960,d00 Mon 16:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,living
1020,d00 Mon 17:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,entry,kitchen,living,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,living
1080,d00 Mon 18:00,kitchen,kitchen,kitchen,living,kitchen,kitchen,living,entry,kitchen,living,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,kitchen,entry,living
1140,d00 Mon 19:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,living,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,kitchen,kitchen,entry,kitchen
1200,d00 Mon 20:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
1260,d00 Mon 21:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,kitchen
1320,d00 Mon 22:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
1380,d00 Mon 23:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
1440,d01 Tue 00:00,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_2,entry,kitchen,living,bedroom_1,kitchen,living,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_3,bedroom_3,kitchen,kitchen,entry,bedroom_2
