t,stamp,phone_elena,keys_elena,wallet_elena,backpack_elena,jacket_elena,water_bottle_elena,lunchbox_elena,laptop_elena,charger_elena,notebook_elena,pen_elena,glasses_elena,headphones_elena,mug_elena,bowl_1,bowl_2,plate_1,plate_2,pot_1,pan_1,book_elena,blanket_elena,remote_1,watering_can_elena,umbrella_elena,laundry_basket_elena,towel_1,hairbrush_elena,medication_bottle_elena,suitcase_elena
0,d00 Mon 00:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
60,d00 Mon 01:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
120,d00 Mon 02:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
180,d00 Mon 03:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
240,d00 Mon 04:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
300,d00 Mon 05:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
360,d00 Mon 06:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
420,d00 Mon 07:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,entry,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
480,d00 Mon 08:00,entry,entry,entry,entry,entry,kitchen,kitchen,bedroom,kitchen,bedroom,bedroom,bedroom,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,entry,bedroom,bathroom,bedroom,bathroom,bedroom
540,d00 Mon 09:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
600,d00 Mon 10:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
660,d00 Mon 11:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
720,d00 Mon 12:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
780,d00 Mon 13:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
840,d00 Mon 14:00,outside,outside,outside,outside,outside,outside,outside,bedroom,outside,bedroom,bedroom,outside,outside,outside,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,living,living,living,kitchen,outside,bedroom,bathroom,bedroom,bathroom,outside
