t,stamp,phone_nadia,keys_nadia,wallet_nadia,laptop_nadia,water_bottle_nadia,lunchbox_nadia,book_nadia,notebook_nadia,mug_nadia,glasses_nadia,phone_evan,keys_evan,wallet_evan,backpack_evan,laptop_evan,notebook_evan,pen_evan,jacket_evan,mug_evan,phone_leila,keys_leila,wallet_leila,backpack_leila,laptop_leila,headphones_leila,charger_leila,water_bottle_leila,makeup_kit_leila,hairbrush_leila,yoga_mat_leila,phone_mateo,keys_mateo,backpack_mateo,water_bottle_mateo,lunchbox_mateo,notebook_mateo,pen_mateo,toy_mateo,blanket_mateo,tablet_1,remote_1,charger_1,plate_1,plate_2,plate_3,plate_4,bowl_1,bowl_2,pot_1,pan_1,laundry_basket_1,towel_1,vacuum_cleaner_1
0,d00 Mon 00:00,entry,entry,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,living,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,entry
60,d00 Mon 01:00,entry,entry,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,living,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,entry
120,d00 Mon 02:00,entry,entry,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,living,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,entry
180,d00 Mon 03:00,entry,entry,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,living,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,entry
240,d00 Mon 04:00,entry,entry,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,living,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,entry
300,d00 Mon 05:00,entry,entry,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,living,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,entry
360,d00 Mon 06:00,entry,entry,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,entry,bedroom_1,kitchen,kitchen,kitchen,kitchen,entry,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,kitchen,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,living,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,entry
420,d00 Mon 07:00,kitchen,entry,entry,bedroom_1,kitchen,kitchen,bedroom_1,kitchen,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bathroom,kitchen,bedroom_2,kitchen,bedroom_3,entry,kitchen,kitchen,bedroom_3,bedroom_3,living,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,entry
480,d00 Mon 08:00,outside,outside,outside,outside,outside,outside,bedroom_1,outside,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,bedroom_2,outside,outside,outside,outside,outside,outside,bedroom_3,living,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,entry
540,d00 Mon 09:00,outside,outside,outside,outside,outside,outside,bedroom_1,outside,kitchen,kitchen,outside,outside,outside,outside,outside,outside,outside,outside,kitchen,outside,outside,outside,outside,outside,bedroom_2,bedroom_2,outside,bedroom_2,bedroom_2,outside,outside,outside,outside,outside,outside,outside,bedroom_3,living,bedroom_3,kitchen,living,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom_1,bathroom,entry
