t,stamp,laptop_leena,phone_leena,keys_leena,wallet_leena,backpack_leena,mug_leena,mug_1,bowl_1,bowl_2,plate_1,plate_2,pot_1,pan_1,water_bottle_leena,notebook_leena,pen_leena,tablet_leena,charger_leena,headphones_leena,book_leena,glasses_leena,blanket_leena,remote_1,yoga_mat_leena,watering_can_leena,jacket_leena,umbrella_leena,laundry_basket_leena,towel_leena,hairbrush_leena,makeup_kit_leena,suitcase_leena
0,d00 Mon 00:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
60,d00 Mon 01:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
120,d00 Mon 02:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
180,d00 Mon 03:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
240,d00 Mon 04:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
300,d00 Mon 05:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
360,d00 Mon 06:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
420,d00 Mon 07:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
480,d00 Mon 08:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
540,d00 Mon 09:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
600,d00 Mon 10:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
660,d00 Mon 11:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
720,d00 Mon 12:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
780,d00 Mon 13:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
840,d00 Mon 14:00,bedroom,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
900,d00 Mon 15:00,bedroom,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
960,d00 Mon 16:00,bedroom,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
1020,d00 Mon 17:00,bedroom,living,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,bedroom,bedroom,bathroom,bedroom,bedroom,bedroom
1080,d00 Mon 18:00,bedroom,bedroom,entry,entry,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1140,d00 Mon 19:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1200,d00 Mon 20:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,bedroom,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1260,d00 Mon 21:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1320,d00 Mon 22:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1380,d00 Mon 23:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
1440,d01 Tue 00:00,bedroom,bedroom,entry,bedroom,entry,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,kitchen,bedroom,bedroom,kitchen,bedroom,bedroom,bedroom,bedroom,living,living,living,kitchen,entry,entry,bedroom,bathroom,bedroom,bedroom,bedroom
