line,activity_code,activity,major,start,stop,duration_min,where_code,where
1,010101,Sleeping,Personal care,04:00,06:00,120,9999,—  (not asked: asleep / personal care)
2,010201,"Washing, dressing, grooming",Personal care,06:00,06:30,30,9999,—  (not asked: asleep / personal care)
3,020201,Food and drink preparation,Household activities,06:30,06:45,15,101,Respondent's home or yard
4,110101,Eating and drinking,Eating and drinking,06:45,06:53,8,101,Respondent's home or yard
5,180501,Travel related to work,Travel,06:53,07:03,10,232,Walking
6,180501,Travel related to work,Travel,07:03,07:13,10,233,Bus
7,180501,Travel related to work,Travel,07:13,07:23,10,232,Walking
8,050101,"Work, main job",Work,07:23,12:00,277,102,Respondent's workplace
9,110101,Eating and drinking,Eating and drinking,12:00,13:00,60,102,Respondent's workplace
10,050101,"Work, main job",Work,13:00,17:00,240,102,Respondent's workplace
11,180209,Travel (detail n.e.c.),Travel,17:00,17:10,10,237,Taxi or rideshare
12,020902,Household organization and planning,Household activities,17:10,17:11,1,114,Other place
13,500103,Missing travel or destination,Data codes (unable to code / gap),17:11,17:31,20,230,"Car, truck, or motorcycle (driver)"
14,189999,"Travel, n.e.c.",Travel,17:31,17:41,10,231,"Car, truck, or motorcycle (passenger)"
15,020202,Food presentation,Household activities,17:41,17:45,4,101,Respondent's home or yard
16,120303,Television and movies (not religious),"Socializing, relaxing, leisure",17:45,18:50,65,101,Respondent's home or yard
17,500103,Missing travel or destination,Data codes (unable to code / gap),18:50,19:00,10,230,"Car, truck, or motorcycle (driver)"
18,189999,"Travel, n.e.c.",Travel,19:00,19:10,10,231,"Car, truck, or motorcycle (passenger)"
19,180704,Travel (detail n.e.c.),Travel,19:10,19:15,5,230,"Car, truck, or motorcycle (driver)"
20,070104,"Shopping, except groceries/food/gas",Consumer purchases,19:15,19:25,10,106,Grocery store
21,500103,Missing travel or destination,Data codes (unable to code / gap),19:25,19:26,1,230,"Car, truck, or motorcycle (driver)"
22,189999,"Travel, n.e.c.",Travel,19:26,19:34,8,230,"Car, truck, or motorcycle (driver)"
23,110101,Eating and drinking,Eating and drinking,19:34,20:04,30,101,Respondent's home or yard
24,120303,Television and movies (not religious),"Socializing, relaxing, leisure",20:04,21:00,56,101,Respondent's home or yard
25,010101,Sleeping,Personal care,21:00,07:00,420,9999,—  (not asked: asleep / personal care)
