start,stop,duration_min,where,activity_code,activity,location_imputed
04:00,06:00,120,home/yard,010101,Sleeping,False
06:00,06:05,5,home/yard,020201,Food and drink preparation,False
06:05,06:10,5,home/yard,120302,Tobacco and drug use,False
06:10,06:15,5,home/yard,020201,Food and drink preparation,False
06:15,06:16,1,home/yard,160102,Telephone calls to/from friends/neighbors,False
06:16,06:25,9,out_of_house,,Out of house,False
06:25,06:27,2,home/yard,030109,Caring for household members (detail n.e.c.),False
06:27,06:47,20,home/yard,010201,"Washing, dressing, grooming",False
06:47,06:52,5,home/yard,020102,Laundry,False
06:52,06:55,3,home/yard,020203,Kitchen and food clean-up,False
06:55,07:00,5,home/yard,020101,Interior cleaning,False
07:00,16:32,572,out_of_house,,Out of house,False
16:32,16:47,15,home/yard,120101,Socializing with others,False
16:47,17:02,15,home/yard,030103,Reading to/with household children,False
17:02,18:30,88,home/yard,010101,Sleeping,False
18:30,19:00,30,home/yard,120101,Socializing with others,False
19:00,19:30,30,home/yard,020201,Food and drink preparation,False
19:30,19:45,15,home/yard,110101,Eating and drinking,False
19:45,20:45,60,home/yard,030103,Reading to/with household children,False
20:45,20:55,10,home/yard,030101,Physical care for household children,False
20:55,21:03,8,home/yard,030101,Physical care for household children,False
21:03,21:13,10,home/yard,020602,Household activities (detail n.e.c.),False
21:13,22:13,60,home/yard,120303,Television and movies (not religious),False
22:13,22:23,10,home/yard,020203,Kitchen and food clean-up,False
22:23,22:28,5,home/yard,110101,Eating and drinking,False
22:28,22:38,10,home/yard,120302,Tobacco and drug use,False
22:38,22:48,10,home/yard,010201,"Washing, dressing, grooming",False
22:48,22:58,10,home/yard,030101,Physical care for household children,False
22:58,23:08,10,home/yard,030101,Physical care for household children,False
23:08,23:18,10,home/yard,030101,Physical care for household children,False
23:18,04:00,282,home/yard,010101,Sleeping,False
