belief,policy,age_bin,n,acc_old,acc_new,delta
LastObservation,NeverSense,0-6h,11079,0.8335,0.8335,0.0
LastObservation,NeverSense,6-24h,23713,0.6293,0.6273,-0.002
LastObservation,NeverSense,24-72h,8441,0.2548,0.3658,0.111
LastObservation,NeverSense,72h+,1767,0.1885,0.3571,0.1686
LastObservation,SequentialSearch,0-6h,11079,0.8389,0.8365,-0.0023
LastObservation,SequentialSearch,6-24h,23713,0.6782,0.6849,0.0067
LastObservation,SequentialSearch,24-72h,8441,0.3956,0.4668,0.0712
LastObservation,SequentialSearch,72h+,1767,0.3243,0.4284,0.1041
MostFrequentLocation(hl=24h),NeverSense,0-6h,11079,0.8167,0.8167,0.0
MostFrequentLocation(hl=24h),NeverSense,6-24h,23713,0.6254,0.6271,0.0017
MostFrequentLocation(hl=24h),NeverSense,24-72h,8441,0.2545,0.4046,0.1501
MostFrequentLocation(hl=24h),NeverSense,72h+,1767,0.1856,0.3724,0.1868
MostFrequentLocation(hl=24h),SequentialSearch,0-6h,11079,0.78,0.7814,0.0014
MostFrequentLocation(hl=24h),SequentialSearch,6-24h,23713,0.6728,0.6946,0.0218
MostFrequentLocation(hl=24h),SequentialSearch,24-72h,8441,0.4053,0.5155,0.1102
MostFrequentLocation(hl=24h),SequentialSearch,72h+,1767,0.3299,0.4652,0.1353
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,0-6h,11079,0.7282,0.7192,-0.009
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,6-24h,23713,0.5648,0.5619,-0.0029
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,24-72h,8441,0.2504,0.3889,0.1385
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,72h+,1767,0.1709,0.3628,0.1919
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,0-6h,11079,0.7129,0.7002,-0.0127
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,6-24h,23713,0.6063,0.6079,0.0016
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,24-72h,8441,0.3763,0.4698,0.0936
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,72h+,1767,0.3237,0.4375,0.1138
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,0-6h,11079,0.7918,0.7918,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,6-24h,23713,0.5532,0.5532,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,24-72h,8441,0.3394,0.3394,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,72h+,1767,0.2926,0.2926,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,0-6h,11079,0.7717,0.7717,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,6-24h,23713,0.6444,0.6444,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,24-72h,8441,0.4515,0.4515,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,72h+,1767,0.3667,0.3667,0.0
