belief,policy,regime,n,acc_old,acc_new,delta
LastObservation,NeverSense,truly_out,6195,0.205,0.0006,-0.2044
LastObservation,NeverSense,came_back,2633,0.0,1.0,1.0
LastObservation,NeverSense,stale_in_house,36172,0.7014,0.6964,-0.0049
LastObservation,SequentialSearch,truly_out,6195,0.2575,0.019,-0.2384
LastObservation,SequentialSearch,came_back,2633,0.2298,0.7406,0.5108
LastObservation,SequentialSearch,stale_in_house,36172,0.7488,0.7779,0.029
MostFrequentLocation(hl=24h),NeverSense,truly_out,6195,0.205,0.0005,-0.2045
MostFrequentLocation(hl=24h),NeverSense,came_back,2633,0.0,0.9544,0.9544
MostFrequentLocation(hl=24h),NeverSense,stale_in_house,36172,0.6935,0.7043,0.0108
MostFrequentLocation(hl=24h),SequentialSearch,truly_out,6195,0.2512,0.0205,-0.2307
MostFrequentLocation(hl=24h),SequentialSearch,came_back,2633,0.2541,0.8287,0.5746
MostFrequentLocation(hl=24h),SequentialSearch,stale_in_house,36172,0.7291,0.7739,0.0447
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,truly_out,6195,0.21,0.0002,-0.2098
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,came_back,2633,0.0,0.8845,0.8845
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,stale_in_house,36172,0.6242,0.6327,0.0086
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,truly_out,6195,0.245,0.0153,-0.2297
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,came_back,2633,0.2484,0.7953,0.5469
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,stale_in_house,36172,0.6594,0.6835,0.0241
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,truly_out,6195,0.0,0.0,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,came_back,2633,0.6335,0.6335,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",NeverSense,stale_in_house,36172,0.6525,0.6525,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,truly_out,6195,0.0,0.0,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,came_back,2633,0.6521,0.6521,0.0
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",SequentialSearch,stale_in_house,36172,0.7346,0.7346,0.0
