model,n,top1,log_loss,log_loss_lo,log_loss_hi,brier,search_steps,recall_at_1,recall_at_2,recall_at_3,recall_at_5,ece
"OracleBelief(eps=0.4,hl=12h)",45000,0.760933,0.699526,0.689284,0.709768,0.334959,1.465067,0.760933,0.918978,0.951911,0.976844,0.006643
"HierarchyBackoff(po=5,pc=5,hl=24h)",45000,0.620133,1.911028,1.887657,1.9344,0.609409,4.261933,0.620133,0.720467,0.757667,0.787956,0.170743
MostFrequentLocation(hl=24h),45000,0.622,1.952016,1.927082,1.976949,0.644945,2.781689,0.621978,0.734044,0.807911,0.915333,0.245258
"SmoothedRecency(hl=6h,freq=24h)",45000,0.626267,1.980381,1.954701,2.00606,0.630573,2.772756,0.626244,0.734422,0.805444,0.912956,0.247205
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",45000,0.623933,2.120584,2.093863,2.147305,0.67875,3.132,0.623844,0.721356,0.7986,0.890533,0.311352
"PerpetuaStar(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",45000,0.5616,2.287502,2.261143,2.313862,0.692536,2.983978,0.5616,0.683289,0.773689,0.904244,0.201579
"PerpetuaStarFlat(lognormal,K<=3,pm=0.01,a0=0.01/h,g=0.99)",45000,0.556978,2.314567,2.288159,2.340975,0.698317,2.997289,0.556978,0.678244,0.771156,0.903933,0.201074
"Perpetua(lognormal,K<=3,pm=0.01,steps=10)",45000,0.550689,2.346587,2.320058,2.373117,0.691332,3.005244,0.550733,0.6786,0.771822,0.903311,0.17216
"DaytypeMixture(K=3,bin=2h,hl=24h)",45000,0.559311,2.393988,2.367093,2.420884,0.769583,3.399156,0.559156,0.689111,0.7754,0.875111,0.33699
"TimetableLookup(bin=1h,days=all,hl=24h)",45000,0.560378,2.415763,2.388861,2.442664,0.774598,3.702111,0.560311,0.654422,0.739067,0.840911,0.334074
LastObservation,45000,0.618289,2.509361,2.479665,2.539056,0.739801,4.483444,0.618356,0.629533,0.767022,0.781156,0.36106
"Markov1(a=1,cut=24h,hl=24h)",45000,0.569978,2.721442,2.707434,2.73545,0.900258,4.468778,0.531822,0.619422,0.707,0.7848,0.489099
