activity,measure,status,n_casas_persons,n_casas_days,n_atus_diaries,sigma2_within,sigma2_total,icc,icc_lo,icc_hi,phi_ar1,resid_skew,resid_kurtosis,note
wake,start_min,OK,4,516,174417,5075.399598744046,11480.374028373633,0.5579064248080903,0.4550550776850211,0.7523134820716534,0.24777374987210832,-0.167685363143591,0.6516028814718817,
wake,participation,OK,8,791,189292,0.02328918165965342,0.07704852069838229,0.6977335651800204,0.4831843012203721,0.9412397277080918,0.28153330019616835,-6.051532050337595,35.49383852220794,
sleep,start_min,OK,4,512,180732,4589.557945513623,9785.803358191275,0.5309983475529476,0.45972123841738105,0.6584841154405136,0.09681212254336373,0.22690721530091496,1.0895090406490389,
sleep,log_duration,FLAGGED_NEGATIVE,6,611,189087,0.20202590426779557,0.07419360781978761,-1.7229556589094024,-6.55917843179889,0.29952821783163536,0.13630660616104953,-2.2447375495976334,13.49130058767432,"sigma2_within exceeds sigma2_total: the two sources are not measuring the same quantity here. Requires manual resolution (crosswalk, measurement noise, or genuinely more erratic CASAS residents); excluded from the automated path. The bootstrap CI includes 0, so this is consistent with a true ICC of zero rather than with a gross mismatch."
sleep,participation,DEGENERATE_NO_VARIANCE,8,791,189292,0.009888672508984873,0.0009120458647796333,nan,-30.51505635227439,1.0,0.8170072202772829,-9.456891902972187,89.98553182464597,population rate 0.9991 is effectively constant: no between-person variance to estimate
meal_prep,start_min,OK,3,401,106979,16588.70156365035,90819.31015291,0.817343893763117,0.6594158227486663,0.9342422327706038,0.20504555149384993,1.3888645101468498,3.552824753398071,
meal_prep,log_duration,OK,3,401,106979,0.5618658427917854,1.0470761549034724,0.4633954367496961,0.25041016710115066,0.627591716166092,0.182407019060435,-0.5348470414314264,3.597155948020205,
meal_prep,participation,OK,5,665,189292,0.00586935377179178,0.24818568896337265,0.9763509580415091,0.9153342990682508,1.0,-0.031998045920859794,-12.272454001722652,153.5705604343604,
eating,start_min,OK,3,298,181209,26788.587129177904,64556.32127411671,0.5850354140312739,0.3920178849634721,0.7931802974994101,-0.02563272943270714,1.7609486196026611,3.161445675622254,
eating,log_duration,OK,3,298,181209,0.5911993481228034,0.5954317233928672,0.0071080782292670674,-0.27894053922329565,0.7488253621735753,0.19381920284414722,0.010155060867023532,0.028095685353178634,
eating,participation,FLAGGED_NEGATIVE,7,732,189292,0.07802762167644517,0.04008894982653275,-0.9463623271269337,-2.804667792010993,1.0,0.10530701379645659,-1.0890997399771543,1.550643685596087,"sigma2_within exceeds sigma2_total: the two sources are not measuring the same quantity here. Requires manual resolution (crosswalk, measurement noise, or genuinely more erratic CASAS residents); excluded from the automated path. The bootstrap CI includes 0, so this is consistent with a true ICC of zero rather than with a gross mismatch."
dishes,start_min,INSUFFICIENT_DATA,2,113,44795,nan,nan,nan,nan,nan,nan,nan,nan,needs >= 3 CASAS persons with >= 10 days and >= 500 ATUS diaries
