activity,measure,status,icc,icc_minus_0.15,icc_plus_0.15
wake,start_min,OK,0.5579,0.4079,0.7079
wake,participation,OK,0.6977,0.5477,0.8477
sleep,start_min,OK,0.5310,0.3810,0.6810
sleep,log_duration,FLAGGED_NEGATIVE,-1.7230,0.0000,0.0000
sleep,participation,DEGENERATE_NO_VARIANCE,,,
meal_prep,start_min,OK,0.8173,0.6673,0.9673
meal_prep,log_duration,OK,0.4634,0.3134,0.6134
meal_prep,participation,OK,0.9764,0.8264,1.0000
eating,start_min,OK,0.5850,0.4350,0.7350
eating,log_duration,OK,0.0071,0.0000,0.1571
eating,participation,FLAGGED_NEGATIVE,-0.9464,0.0000,0.0000
dishes,start_min,INSUFFICIENT_DATA,,,
dishes,log_duration,INSUFFICIENT_DATA,,,
dishes,participation,OK,0.3205,0.1705,0.4705
housekeeping,start_min,INSUFFICIENT_DATA,,,
housekeeping,log_duration,INSUFFICIENT_DATA,,,
housekeeping,participation,OK,0.5693,0.4193,0.7193
leisure,log_duration,OK,0.1682,0.0182,0.3182
leisure,participation,OK,0.8285,0.6785,0.9785
work_home,start_min,OK,0.5786,0.4286,0.7286
work_home,log_duration,OK,0.4257,0.2757,0.5757
work_home,participation,FLAGGED_NEGATIVE,-0.0355,0.0000,0.1145
leave_home,start_min,OK,0.4633,0.3133,0.6133
leave_home,participation,OK,0.2824,0.1324,0.4324
hygiene,log_duration,INSUFFICIENT_DATA,,,
hygiene,participation,OK,0.9861,0.8361,1.0000
