scene_id,n_bedrooms,n_bathrooms,has_kitchen,has_dining,has_living,has_office,n_primary_types,n_primary_instances,n_named_regions,room_breakdown
102343992,5,2,1,1,0,1,7,14,28,balcony:1;bathroom:2;bedroom:5;closet:2;dining_room:1;garage:1;gym:1;hallway:4;kitchen:1;laundryroom:1;office:3;other room:2;outdoor:1;rec/game:1;toilet:1;tv:1
102344022,2,2,1,1,1,0,5,7,20,bathroom:2;bedroom:2;closet:7;dining_room:1;garage:1;hallway:1;kitchen:1;living_room:1;other room:2;outdoor:1;toilet:1
102344049,3,3,1,0,1,0,4,8,13,bathroom:3;bedroom:3;closet:1;garage:1;hallway:2;kitchen:1;laundryroom:1;living_room:1
102344094,1,1,1,1,1,0,5,5,11,balcony:1;bathroom:1;bedroom:1;closet:5;dining_room:1;kitchen:1;living_room:1
102344115,1,1,1,0,0,0,3,3,6,bathroom:1;bedroom:1;hallway:1;kitchen:1;other room:1;tv:1
102344193,1,1,1,0,1,0,4,4,8,balcony:1;bathroom:1;bedroom:1;closet:1;hallway:1;kitchen:1;laundryroom:1;living_room:1
102344250,4,3,1,1,0,1,5,11,21,bathroom:3;bedroom:4;closet:4;dining_room:2;garage:1;hallway:2;kitchen:1;laundryroom:1;office:1;toilet:1;tv:1
102344280,3,3,1,1,0,0,4,8,15,bathroom:3;bedroom:3;closet:3;dining_room:1;entryway:1;hallway:1;kitchen:1;laundryroom:1;tv:1
102344307,2,2,1,1,1,0,5,7,16,bathroom:2;bedroom:2;closet:3;dining_room:1;entryway:1;kitchen:1;laundryroom:1;living_room:1;outdoor:1;terrace:1;toilet:1;utilityroom:1
102344328,2,2,1,0,1,0,4,7,13,bathroom:2;bedroom:2;closet:2;garage:1;hallway:1;kitchen:1;living_room:2;terrace:1;toilet:1
102344403,3,3,1,0,1,1,8,12,23,bathroom:3;bedroom:3;closet:3;driveway:1;garage:1;gym:1;hallway:2;kitchen:1;laundryroom:1;living_room:1;lounge:1;office:1;outdoor:2;rec/game:1;toilet:1
102344439,3,2,1,0,1,0,6,9,19,bathroom:2;bedroom:3;closet:4;garage:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;lounge:1;outdoor:2;rec/game:1;toilet:1
102344457,2,2,1,0,1,0,5,7,12,bathroom:2;bedroom:2;hallway:1;kitchen:1;living_room:1;lounge:1;outdoor:1;terrace:1;toilet:2
102344469,3,2,1,0,1,0,5,8,18,bathroom:2;bedroom:3;closet:5;entryway:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;rec/game:1;toilet:1;tv:1
102344529,0,0,1,1,0,0,3,3,10,closet:1;dining_room:1;garage:1;kitchen:1;laundryroom:1;lounge:1;outdoor:1;toilet:1;tv:2
102815835,1,2,1,1,1,0,5,6,15,bathroom:2;bedroom:1;closet:3;dining_room:1;entryway:1;hallway:2;kitchen:1;laundryroom:1;living_room:1;porch:1;tv:1
102815859,1,0,1,0,1,0,3,3,12,bedroom:1;dining booth:1;entryway:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;other room:2;outdoor:2;toilet:1
102816009,3,5,1,1,1,1,6,13,33,bathroom:5;bedroom:3;closet:6;dining_room:2;entryway:1;garage:2;hallway:3;kitchen:1;laundryroom:1;living_room:1;office:1;other room:2;outdoor:2;toilet:2;tv:1
102816036,5,6,1,1,0,1,6,17,36,bathroom:6;bedroom:5;classroom:1;closet:7;dining_room:1;familyroom:2;garage:1;hallway:1;kitchen:1;laundryroom:1;office:2;other room:1;terrace:3;toilet:3;tv:1
102816051,3,2,1,1,0,0,4,7,17,bathroom:2;bedroom:3;closet:5;dining_room:1;garage:1;hallway:1;kitchen:1;laundryroom:1;tv:2
102816066,3,3,1,1,1,1,8,12,23,bathroom:3;bedroom:3;closet:1;dining_room:1;garage:1;gym:1;hallway:2;kitchen:1;living_room:1;office:1;other room:4;outdoor:2;rec/game:1;toilet:1
102816114,2,1,1,1,1,0,5,6,12,bathroom:1;bedroom:2;closet:1;dining_room:1;entryway:1;kitchen:1;living_room:1;outdoor:2;porch:1;toilet:1
102816216,2,2,1,1,1,0,5,7,12,bathroom:2;bedroom:2;dining_room:1;entryway:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;terrace:2
102816600,4,3,1,0,1,0,5,10,22,balcony:1;bathroom:3;bedroom:4;closet:2;driveway:1;hallway:2;kitchen:1;living_room:1;lounge:1;outdoor:2;terrace:1;toilet:2;tv:1
102816615,3,2,1,1,0,0,4,7,15,bathroom:2;bedroom:3;closet:2;dining_room:1;entryway:1;hallway:2;kitchen:1;laundryroom:1;toilet:1;tv:1
102816627,3,2,1,0,1,0,4,7,11,bathroom:2;bedroom:3;closet:1;hallway:1;kitchen:1;living_room:1;outdoor:1;toilet:1
102816729,3,2,1,1,0,0,4,7,15,bathroom:2;bedroom:3;closet:1;dining_room:1;garage:1;hallway:1;kitchen:1;outdoor:1;porch:1;terrace:1;toilet:1;tv:1
102816756,4,1,1,0,1,0,4,7,13,bathroom:1;bedroom:4;closet:1;entryway:1;kitchen:1;living_room:1;other room:2;terrace:1;toilet:1
102816786,2,2,1,1,1,1,6,8,12,bathroom:2;bedroom:2;closet:1;dining_room:1;hallway:1;kitchen:1;laundryroom:1;living_room:1;office:1;terrace:1
