obj_id,label,class,n_moves,repeat24h,move_concentration,predictability
0,book_1,book,26,0.533,0.1863,0.3596
1,book_2,book,6,0.7882,0.593,0.6906
2,book_3,book,2,0.9062,1.0,0.9531
3,bottle_1,bottle,17,0.6146,0.3252,0.4699
4,bottle_2,bottle,17,0.7431,0.4097,0.5764
5,bowl_1,bowl,4,0.842,0.7211,0.7815
6,bowl_2,bowl,0,1.0,,1.0
7,bowl_3,bowl,13,0.9722,0.8909,0.9315
8,bowl_4,bowl,13,0.9722,0.7222,0.8472
9,chair_1,chair,27,0.7049,0.19,0.4474
10,chair_2,chair,0,1.0,,1.0
11,chair_3,chair,0,1.0,,1.0
12,chair_4,chair,0,1.0,,1.0
13,elena_keys,keys,2,0.8854,0.7211,0.8032
14,elena_laptop,laptop,3,0.7431,0.5579,0.6505
15,elena_phone,phone,18,0.5729,0.3444,0.4587
16,elena_sunglasses,sunglasses,1,0.9306,,0.9306
17,elena_wallet,wallet,1,0.9688,,0.9688
18,fridge_1,fridge,0,1.0,,1.0
19,leo_backpack,backpack,5,0.7795,0.4639,0.6217
20,leo_headphones,headphones,13,0.8524,0.5089,0.6807
21,leo_laptop,laptop,9,0.7413,0.3017,0.5215
22,leo_phone,phone,13,0.5538,0.2148,0.3843
23,marcus_keys,keys,3,0.8073,0.5579,0.6826
24,marcus_laptop,laptop,4,0.8299,0.4421,0.636
25,marcus_phone,phone,15,0.5174,0.3242,0.4208
26,marcus_wallet,wallet,3,0.8142,0.5579,0.6861
27,mia_backpack,backpack,1,0.941,,0.941
28,mia_headphones,headphones,5,0.8229,0.6176,0.7202
29,mia_laptop,laptop,6,0.8316,0.3719,0.6018
30,mia_phone,phone,13,0.5833,0.3027,0.443
31,mia_sunglasses,sunglasses,1,0.941,,0.941
32,potted_plant_1,potted_plant,9,0.7066,0.3871,0.5469
33,potted_plant_2,potted_plant,2,0.9236,0.7211,0.8223
34,potted_plant_3,potted_plant,0,1.0,,1.0
35,potted_plant_4,potted_plant,0,1.0,,1.0
36,potted_plant_5,potted_plant,0,1.0,,1.0
37,potted_plant_6,potted_plant,0,1.0,,1.0
38,remote_control_1,remote_control,10,0.7153,0.3523,0.5338
39,stool_1,stool,19,1.0,0.5442,0.7721
40,stool_2,stool,0,1.0,,1.0
41,stool_3,stool,0,1.0,,1.0
42,tv_1,tv,0,1.0,,1.0
43,vase_1,vase,1,0.9688,,0.9688
44,wardrobe_1,wardrobe,0,1.0,,1.0
