agent,household,day,stage,confident,places,rooms,cost_c2.0,cost_c4.0
none_tt,hh_s0,1,lead,False,1,1,2.0,4.0
none_tt,hh_s0,1,lead,False,15,6,2.0,4.0
none_tt,hh_s0,1,lead,False,1,1,2.0,4.0
none_tt,hh_s0,1,lead,False,1,1,2.0,4.0
none_tt,hh_s0,1,lead,False,2,2,2.0,4.0
none_tt,hh_s0,1,lead,False,1,1,2.0,4.0
none_tt,hh_s0,1,lead,False,14,6,2.0,4.0
none_tt,hh_s0,1,lead,False,1,1,2.0,4.0
none_tt,hh_s0,1,lead,True,1,1,1,1
none_tt,hh_s0,1,lead,False,2,2,2.0,4.0
none_tt,hh_s0,1,lead,False,1,1,2.0,4.0
none_tt,hh_s0,1,lead,False,1,1,2.0,4.0
none_tt,hh_s0,1,lead,False,1,1,2.0,4.0
none_tt,hh_s0,1,lead,False,28,6,2.0,4.0
none_tt,hh_s0,1,lead,True,12,6,12,12
none_tt,hh_s0,1,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,True,1,1,1,1
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,2,lead,False,1,1,2.0,4.0
none_tt,hh_s0,3,lead,False,24,6,2.0,4.0
none_tt,hh_s0,3,lead,False,1,1,2.0,4.0
none_tt,hh_s0,3,lead,False,1,1,2.0,4.0
none_tt,hh_s0,3,lead,True,1,1,1,1
none_tt,hh_s0,3,lead,False,1,1,2.0,4.0
none_tt,hh_s0,3,lead,False,1,1,2.0,4.0
none_tt,hh_s0,3,lead,False,1,1,2.0,4.0
none_tt,hh_s0,3,lead,False,1,1,2.0,4.0
none_tt,hh_s0,3,lead,True,1,1,1,1
none_tt,hh_s0,3,lead,False,2,2,2.0,4.0
none_tt,hh_s0,3,lead,True,1,1,1,1
none_tt,hh_s0,3,lead,False,1,1,2.0,4.0
none_tt,hh_s0,3,lead,False,14,6,2.0,4.0
none_tt,hh_s0,3,lead,False,14,6,2.0,4.0
