belief,policy,mode,alpha,n_households,n_questions,task_accuracy,belief_accuracy,mean_budget,mean_budget_per_day,forced_answer_rate,budget_per_day,qhat_global
LastObservation,NeverSense,NeverSense,,10,22500,0.560267,0.55635,0.0,0.0,0.0,24,
LastObservation,SequentialSearch,SequentialSearch,,10,22500,0.615778,0.608436,0.266667,24.0,0.0,24,
LastObservation,"ConformalSense(alpha=0.02,global)",global,0.02,10,22500,0.616178,0.609506,0.266667,24.0,0.0,24,1.000000
LastObservation,"ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,10,22500,0.619467,0.61171,0.266667,24.0,0.0,24,1.000000
LastObservation,"ConformalSense(alpha=0.05,global)",global,0.05,10,22500,0.617822,0.609571,0.266667,24.0,0.0,24,1.000000
LastObservation,"ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,10,22500,0.617778,0.610662,0.266667,24.0,0.0,24,1.000000
LastObservation,"ConformalSense(alpha=0.1,global)",global,0.1,10,22500,0.616711,0.609106,0.266667,24.0,0.0,24,1.000000
LastObservation,"ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,10,22500,0.616978,0.608583,0.266667,24.0,0.0,24,1.000000
LastObservation,"ConformalSense(alpha=0.2,global)",global,0.2,10,22500,0.621822,0.610854,0.266667,24.0,0.0,24,1.000000
LastObservation,"ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,10,22500,0.624,0.613974,0.266667,24.0,0.0,24,1.000000
MostFrequentLocation(hl=24h),NeverSense,NeverSense,,10,22500,0.556711,0.552255,0.0,0.0,0.0,24,
MostFrequentLocation(hl=24h),SequentialSearch,SequentialSearch,,10,22500,0.601289,0.593232,0.266667,24.0,0.0,24,
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.02,global)",global,0.02,10,22500,0.605511,0.594779,0.266667,24.0,0.0,24,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,10,22500,0.605156,0.594577,0.266667,24.0,0.0,24,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.05,global)",global,0.05,10,22500,0.602844,0.592991,0.266667,24.0,0.0,24,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,10,22500,0.605422,0.594266,0.266667,24.0,0.0,24,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.1,global)",global,0.1,10,22500,0.606889,0.596953,0.266667,24.0,0.0,24,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,10,22500,0.606133,0.596571,0.266667,24.0,0.0,24,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.2,global)",global,0.2,10,22500,0.6048,0.595542,0.266667,24.0,0.0,24,1.000000
MostFrequentLocation(hl=24h),"ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,10,22500,0.606578,0.596969,0.266667,24.0,0.0,24,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)",NeverSense,NeverSense,,10,22500,0.513378,0.510027,0.0,0.0,0.0,24,
"TimetableLookup(bin=1h,days=all,hl=24h)",SequentialSearch,SequentialSearch,,10,22500,0.552756,0.541461,0.266667,24.0,0.0,24,
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.02,global)",global,0.02,10,22500,0.554044,0.54283,0.266667,24.0,0.0,24,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,10,22500,0.555778,0.543038,0.266667,24.0,0.0,24,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.05,global)",global,0.05,10,22500,0.554933,0.544307,0.266667,24.0,0.0,24,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,10,22500,0.555378,0.542596,0.266667,24.0,0.0,24,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.1,global)",global,0.1,10,22500,0.554889,0.544115,0.266667,24.0,0.0,24,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,10,22500,0.553867,0.544365,0.266667,24.0,0.0,24,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.2,global)",global,0.2,10,22500,0.554578,0.54587,0.266667,24.0,0.0,24,1.000000
"TimetableLookup(bin=1h,days=all,hl=24h)","ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,10,22500,0.557289,0.543739,0.266667,24.0,0.0,24,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",NeverSense,NeverSense,,10,22500,0.561022,0.557602,0.0,0.0,0.0,24,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)",SequentialSearch,SequentialSearch,,10,22500,0.620222,0.612,0.266667,24.0,0.0,24,
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.02,global)",global,0.02,10,22500,0.622311,0.611772,0.266667,24.0,0.0,24,1.000000
"PeriodicPersistence(min_dep=2,bin=1h,hl=24h)","ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,10,22500,0.618844,0.612786,0.266667,24.0,0.0,24,1.000000
