belief,alpha,mode,age_bin,n,n_covered,coverage,qhat,target,n_calibration,fallback_to_global
LastObservation,0.02,global,0-6h,4947,4705,0.951081,0.999908,0.98,6132,
LastObservation,0.02,global,6-24h,11660,11529,0.988765,0.999908,0.98,12053,
LastObservation,0.02,global,24-72h,4691,4676,0.996802,0.999908,0.98,3750,
LastObservation,0.02,global,72h+,1202,1200,0.998336,0.999908,0.98,565,
LastObservation,0.02,age_binned,0-6h,4947,4852,0.980796,0.999947,0.98,6132,False
LastObservation,0.02,age_binned,6-24h,11660,11445,0.981561,0.999884,0.98,12053,False
LastObservation,0.02,age_binned,24-72h,4691,4595,0.979535,0.999785,0.98,3750,False
LastObservation,0.02,age_binned,72h+,1202,1169,0.972546,0.999671,0.98,565,False
LastObservation,0.05,global,0-6h,4947,4625,0.93491,0.999795,0.95,6132,
LastObservation,0.05,global,6-24h,11660,10865,0.931818,0.999795,0.95,12053,
LastObservation,0.05,global,24-72h,4691,4602,0.981027,0.999795,0.95,3750,
LastObservation,0.05,global,72h+,1202,1196,0.995008,0.999795,0.95,565,
LastObservation,0.05,age_binned,0-6h,4947,4687,0.947443,0.9999,0.95,6132,False
LastObservation,0.05,age_binned,6-24h,11660,10934,0.937736,0.999806,0.95,12053,False
LastObservation,0.05,age_binned,24-72h,4691,4361,0.929653,0.999674,0.95,3750,False
LastObservation,0.05,age_binned,72h+,1202,1091,0.907654,0.999399,0.95,565,False
LastObservation,0.1,global,0-6h,4947,4625,0.93491,0.999667,0.9,6132,
LastObservation,0.1,global,6-24h,11660,9741,0.83542,0.999667,0.9,12053,
LastObservation,0.1,global,24-72h,4691,4331,0.923257,0.999667,0.9,3750,
LastObservation,0.1,global,72h+,1202,1167,0.970882,0.999667,0.9,565,
LastObservation,0.1,age_binned,0-6h,4947,4347,0.878714,0.999257,0.9,6132,False
LastObservation,0.1,age_binned,6-24h,11660,10201,0.874871,0.999718,0.9,12053,False
LastObservation,0.1,age_binned,24-72h,4691,3995,0.851631,0.999389,0.9,3750,False
LastObservation,0.1,age_binned,72h+,1202,992,0.825291,0.999255,0.9,565,False
LastObservation,0.2,global,0-6h,4947,4267,0.862543,0.999197,0.8,6132,
LastObservation,0.2,global,6-24h,11660,7657,0.65669,0.999197,0.8,12053,
LastObservation,0.2,global,24-72h,4691,3718,0.792582,0.999197,0.8,3750,
LastObservation,0.2,global,72h+,1202,985,0.819468,0.999197,0.8,565,
LastObservation,0.2,age_binned,0-6h,4947,3819,0.771983,0.018155,0.8,6132,False
LastObservation,0.2,age_binned,6-24h,11660,8562,0.734305,0.999368,0.8,12053,False
LastObservation,0.2,age_binned,24-72h,4691,3640,0.775954,0.999128,0.8,3750,False
LastObservation,0.2,age_binned,72h+,1202,800,0.665557,0.998652,0.8,565,False
LastObservation,0.3,global,0-6h,4947,4096,0.827977,0.997277,0.7,6132,
LastObservation,0.3,global,6-24h,11660,7153,0.613465,0.997277,0.7,12053,
LastObservation,0.3,global,24-72h,4691,2632,0.561074,0.997277,0.7,3750,
LastObservation,0.3,global,72h+,1202,582,0.484193,0.997277,0.7,565,
LastObservation,0.3,age_binned,0-6h,4947,3212,0.649282,0.017109,0.7,6132,False
LastObservation,0.3,age_binned,6-24h,11660,7421,0.636449,0.999122,0.7,12053,False
LastObservation,0.3,age_binned,24-72h,4691,3225,0.687487,0.998532,0.7,3750,False
LastObservation,0.3,age_binned,72h+,1202,655,0.544925,0.998194,0.7,565,False
LastObservation,0.4,global,0-6h,4947,3793,0.766727,0.018034,0.6,6132,
LastObservation,0.4,global,6-24h,11660,6854,0.587822,0.018034,0.6,12053,
LastObservation,0.4,global,24-72h,4691,1057,0.225325,0.018034,0.6,3750,
LastObservation,0.4,global,72h+,1202,165,0.137271,0.018034,0.6,565,
LastObservation,0.4,age_binned,0-6h,4947,2539,0.51324,0.015947,0.6,6132,False
LastObservation,0.4,age_binned,6-24h,11660,6172,0.529331,0.014446,0.6,12053,False
LastObservation,0.4,age_binned,24-72h,4691,2779,0.592411,0.997714,0.6,3750,False
LastObservation,0.4,age_binned,72h+,1202,567,0.471714,0.996748,0.6,565,False
LastObservation,0.5,global,0-6h,4947,1987,0.401658,0.015333,0.5,6132,
LastObservation,0.5,global,6-24h,11660,6410,0.549743,0.015333,0.5,12053,
LastObservation,0.5,global,24-72h,4691,915,0.195054,0.015333,0.5,3750,
LastObservation,0.5,global,72h+,1202,106,0.088186,0.015333,0.5,565,
LastObservation,0.5,age_binned,0-6h,4947,1721,0.347888,0.015144,0.5,6132,False
