belief,alpha_target,gamma,feedback,mode,day,n,coverage,target,update_rate,mean_alpha,mean_qhat
LastObservation,0.3,0.0,oracle,aci_static,3,900,0.762222,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,4,900,0.727778,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,5,900,0.738889,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,6,900,0.785556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,7,900,0.706667,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,8,900,0.735556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,9,900,0.737778,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,10,900,0.725556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,11,900,0.762222,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,12,900,0.765556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,13,900,0.778889,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,14,900,0.728889,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,15,900,0.712222,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,16,900,0.711111,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,17,900,0.707778,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,18,900,0.742222,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,19,900,0.718889,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,20,900,0.787778,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,21,900,0.745556,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,22,900,0.718889,0.7,1.0,0.3,0.997277
LastObservation,0.3,0.0,oracle,aci_static,23,900,0.71,0.7,1.0,0.3,0.997277
