belief,policy,mode,alpha,tau,gamma,feedback,n_households,n_questions,task_accuracy,belief_accuracy,mean_budget,mean_budget_per_day,forced_answer_rate,budget_per_day,qhat_global
LastObservation,NeverSense,NeverSense,,,,,10,22500,0.586933,0.583337,0.0,0.0,0.0,90,
LastObservation,SequentialSearch,SequentialSearch,,,,,10,22500,0.706578,0.670443,1.0,90.0,0.0,90,
LastObservation,"ConformalSense(alpha=0.02,global)",global,0.02,,,,10,22500,0.707156,0.671214,1.0,90.0,0.0,90,0.999908
LastObservation,"ConformalSense(alpha=0.02,age_binned)",age_binned,0.02,,,,10,22500,0.706222,0.66993,1.0,90.0,0.0,90,0.999908
LastObservation,"ConformalSense(alpha=0.05,global)",global,0.05,,,,10,22500,0.704711,0.66951,1.0,90.0,0.0,90,0.999795
LastObservation,"ConformalSense(alpha=0.05,age_binned)",age_binned,0.05,,,,10,22500,0.705911,0.670407,1.0,90.0,0.0,90,0.999795
LastObservation,"ConformalSense(alpha=0.1,global)",global,0.1,,,,10,22500,0.706133,0.67086,1.0,90.0,0.0,90,0.999667
LastObservation,"ConformalSense(alpha=0.1,age_binned)",age_binned,0.1,,,,10,22500,0.719467,0.681218,0.976978,87.928,0.0,90,0.999667
LastObservation,"ConformalSense(alpha=0.2,global)",global,0.2,,,,10,22500,0.705733,0.670833,0.878267,79.044,0.0,90,0.999197
LastObservation,"ConformalSense(alpha=0.2,age_binned)",age_binned,0.2,,,,10,22500,0.734578,0.685418,0.925822,83.324,0.0,90,0.999197
LastObservation,"ConformalSense(alpha=0.3,global)",global,0.3,,,,10,22500,0.690133,0.657956,0.7776,69.984,0.0,90,0.997277
LastObservation,"ConformalSense(alpha=0.3,age_binned)",age_binned,0.3,,,,10,22500,0.716933,0.672391,0.866489,77.984,0.0,90,0.997277
LastObservation,"ConformalSense(alpha=0.4,global)",global,0.4,,,,10,22500,0.726978,0.658006,0.423022,38.072,0.0,90,0.018034
LastObservation,"ConformalSense(alpha=0.4,age_binned)",age_binned,0.4,,,,10,22500,0.760933,0.681577,0.769156,69.224,0.0,90,0.018034
LastObservation,"ConformalSense(alpha=0.5,global)",global,0.5,,,,10,22500,0.783511,0.69061,0.701822,63.164,0.0,90,0.015333
LastObservation,"ConformalSense(alpha=0.5,age_binned)",age_binned,0.5,,,,10,22500,0.773911,0.690095,0.812489,73.124,0.0,90,0.015333
LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.2,global)",resolvable,0.2,0.2,,,10,22500,0.735422,0.67664,0.864667,77.82,0.0,90,0.999197
LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.4,global)",resolvable,0.2,0.4,,,10,22500,0.774667,0.688827,0.838044,75.424,0.0,90,0.999197
LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.6,global)",resolvable,0.2,0.6,,,10,22500,0.803778,0.699963,0.775556,69.8,0.0,90,0.999197
LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.8,global)",resolvable,0.2,0.8,,,10,22500,0.765956,0.68928,0.6232,56.088,0.0,90,0.999197
LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.2,global)",resolvable,0.3,0.2,,,10,22500,0.722756,0.668399,0.741689,66.752,0.0,90,0.997277
LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.4,global)",resolvable,0.3,0.4,,,10,22500,0.761067,0.684716,0.713289,64.196,0.0,90,0.997277
LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.6,global)",resolvable,0.3,0.6,,,10,22500,0.7828,0.693595,0.6324,56.916,0.0,90,0.997277
LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.8,global)",resolvable,0.3,0.8,,,10,22500,0.733822,0.672022,0.435911,39.232,0.0,90,0.997277
LastObservation,"ResolvableMassSense(alpha=0.4,tau=0.2,global)",resolvable,0.4,0.2,,,10,22500,0.586844,0.583324,0.0,0.0,0.0,90,0.018034
LastObservation,"ResolvableMassSense(alpha=0.4,tau=0.4,global)",resolvable,0.4,0.4,,,10,22500,0.587022,0.583306,0.0,0.0,0.0,90,0.018034
LastObservation,"ResolvableMassSense(alpha=0.4,tau=0.6,global)",resolvable,0.4,0.6,,,10,22500,0.586933,0.583315,0.0,0.0,0.0,90,0.018034
LastObservation,"ResolvableMassSense(alpha=0.4,tau=0.8,global)",resolvable,0.4,0.8,,,10,22500,0.586978,0.583335,0.0,0.0,0.0,90,0.018034
LastObservation,"ACISense(alpha=0.3,gamma=0,oracle)",aci_static,0.3,,0,oracle,10,22500,0.690222,0.657725,0.770489,69.344,0.0,90,0.997277
LastObservation,"ACISense(alpha=0.3,gamma=0.01,oracle)",aci_oracle,0.3,,0.01,oracle,10,22500,0.687244,0.656222,0.6928,62.352,0.0,90,0.997277
LastObservation,"ACISense(alpha=0.3,gamma=0.01,sensed)",aci_sensed,0.3,,0.01,sensed,10,22500,0.677289,0.646949,0.601467,54.132,0.0,90,0.997277
LastObservation,"ACISense(alpha=0.3,gamma=0.05,oracle)",aci_oracle,0.3,,0.05,oracle,10,22500,0.717156,0.674352,0.830489,74.744,0.0,90,0.997277
