household,protocol,method,perm,n_days,draw,accuracy,accuracy_moved_only
A,E1,persistence,0,1,,0.8851764705882353,
A,E1,modal,0,1,,0.9051764705882352,
A,E1,frequency,0,1,,0.9368235294117647,
A,E1,markov,0,1,,0.9371764705882353,
A,E1,pooled,0,1,,0.8424705882352941,
A,E1,fremen,0,1,,0.9470588235294117,
A,E2,fallback,0,1,0,1.0,
A,E2,pooled,0,1,0,1.0,
A,E2,fallback,0,1,1,0.8558823529411764,0.0
A,E2,pooled,0,1,1,0.47352941176470587,0.0
A,E2,fallback,0,1,2,0.9941176470588236,0.0
A,E2,pooled,0,1,2,0.9941176470588236,0.0
A,E2,fallback,0,1,3,1.0,
A,E2,pooled,0,1,3,1.0,
A,E2,fallback,0,1,4,0.47058823529411764,0.0
A,E2,pooled,0,1,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,0,2,,0.8851764705882353,
A,E1,modal,0,2,,0.9051764705882352,
A,E1,frequency,0,2,,0.9356470588235294,
A,E1,markov,0,2,,0.9352941176470588,
A,E1,pooled,0,2,,0.9331764705882353,
A,E1,fremen,0,2,,0.936235294117647,
A,E2,fallback,0,2,0,1.0,
A,E2,pooled,0,2,0,1.0,
A,E2,fallback,0,2,1,0.8558823529411764,0.0
A,E2,pooled,0,2,1,0.5235294117647059,0.02040816326530612
A,E2,fallback,0,2,2,0.9941176470588236,0.0
A,E2,pooled,0,2,2,0.9941176470588236,0.0
A,E2,fallback,0,2,3,1.0,
A,E2,pooled,0,2,3,1.0,
A,E2,fallback,0,2,4,0.47058823529411764,0.0
A,E2,pooled,0,2,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,0,4,,0.8851764705882353,
A,E1,modal,0,4,,0.9056470588235294,
A,E1,frequency,0,4,,0.9554117647058824,
A,E1,markov,0,4,,0.9355294117647058,
A,E1,pooled,0,4,,0.9434117647058824,
A,E1,fremen,0,4,,0.9404705882352942,
A,E2,fallback,0,4,0,1.0,
A,E2,pooled,0,4,0,1.0,
A,E2,fallback,0,4,1,0.8558823529411764,0.0
A,E2,pooled,0,4,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,0,4,2,0.9941176470588236,0.0
A,E2,pooled,0,4,2,0.9941176470588236,0.0
A,E2,fallback,0,4,3,1.0,
A,E2,pooled,0,4,3,1.0,
A,E2,fallback,0,4,4,0.47058823529411764,0.0
A,E2,pooled,0,4,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,0,8,,0.8612941176470589,
A,E1,modal,0,8,,0.9056470588235294,
A,E1,frequency,0,8,,0.9551764705882353,
A,E1,markov,0,8,,0.9343529411764706,
A,E1,pooled,0,8,,0.9448235294117647,
A,E1,fremen,0,8,,0.9554117647058824,
A,E2,fallback,0,8,0,1.0,
A,E2,pooled,0,8,0,1.0,
A,E2,fallback,0,8,1,0.8558823529411764,0.0
A,E2,pooled,0,8,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,0,8,2,0.9941176470588236,0.0
A,E2,pooled,0,8,2,0.9941176470588236,0.0
A,E2,fallback,0,8,3,1.0,
A,E2,pooled,0,8,3,1.0,
A,E2,fallback,0,8,4,0.47058823529411764,0.0
A,E2,pooled,0,8,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,0,16,,0.8612941176470589,
A,E1,modal,0,16,,0.9056470588235294,
A,E1,frequency,0,16,,0.9582352941176471,
A,E1,markov,0,16,,0.9381176470588235,
A,E1,pooled,0,16,,0.9572941176470589,
A,E1,fremen,0,16,,0.9568235294117647,
A,E2,fallback,0,16,0,1.0,
A,E2,pooled,0,16,0,1.0,
A,E2,fallback,0,16,1,0.8558823529411764,0.0
A,E2,pooled,0,16,1,0.6705882352941176,0.02040816326530612
A,E2,fallback,0,16,2,0.9941176470588236,0.0
A,E2,pooled,0,16,2,0.9941176470588236,0.0
A,E2,fallback,0,16,3,1.0,
A,E2,pooled,0,16,3,1.0,
A,E2,fallback,0,16,4,0.47058823529411764,0.0
A,E2,pooled,0,16,4,0.6735294117647059,0.6611111111111111
A,E1,persistence,0,32,,0.8612941176470589,
A,E1,modal,0,32,,0.9056470588235294,
A,E1,frequency,0,32,,0.9596470588235294,
A,E1,markov,0,32,,0.9411764705882353,
A,E1,pooled,0,32,,0.9589411764705882,
A,E1,fremen,0,32,,0.9570588235294117,
A,E2,fallback,0,32,0,1.0,
A,E2,pooled,0,32,0,1.0,
A,E2,fallback,0,32,1,0.8558823529411764,0.0
