household_id,day_index,ess,correct,routine_correct
hh_001,3,1.4013,0,0
hh_001,3,1.4027,1,1
hh_001,3,1.4221,1,0
hh_001,3,1.4225,0,0
hh_001,3,1.4236,0,1
hh_001,3,1.4249,1,1
hh_001,3,1.426,1,1
hh_001,3,1.4268,0,1
hh_001,3,1.4277,1,0
hh_001,3,1.4297,1,1
hh_001,3,1.4318,0,0
hh_001,3,1.4319,0,0
hh_001,3,1.4321,1,1
hh_001,3,1.4328,0,0
hh_001,3,1.433,0,0
hh_001,3,1.4344,1,0
hh_001,3,1.4344,1,1
hh_001,3,1.4352,0,1
hh_001,3,1.4353,1,0
hh_001,3,1.4366,1,1
hh_001,3,1.4166,1,1
hh_001,3,1.4176,0,0
hh_001,3,1.4176,1,1
hh_001,3,1.4178,1,1
hh_001,3,1.4199,1,1
hh_001,3,1.42,1,1
hh_001,3,1.4217,0,0
hh_001,3,1.4262,1,1
hh_001,3,1.4267,1,1
hh_001,3,1.4272,1,1
hh_001,3,1.4275,1,1
hh_001,3,1.4279,1,0
hh_001,3,1.4229,0,0
hh_001,3,1.4229,1,1
hh_001,3,1.4231,1,0
hh_001,3,1.4248,1,1
hh_001,3,1.4248,1,1
hh_001,3,1.4275,1,1
hh_001,3,1.4283,1,1
hh_001,3,1.4284,1,1
hh_001,3,1.4291,0,0
hh_001,3,1.4299,1,1
hh_001,3,1.4304,1,1
hh_001,3,1.4312,1,1
hh_001,3,1.4315,0,1
hh_001,3,1.4322,0,0
hh_001,3,1.4328,0,1
hh_001,3,1.4337,0,0
hh_001,3,1.4347,1,0
hh_001,3,1.435,1,1
hh_001,3,1.435,1,1
hh_001,3,1.4353,1,1
hh_001,3,1.4359,1,1
hh_001,3,1.4364,0,1
hh_001,3,1.4382,0,0
hh_001,3,1.4398,0,0
hh_001,3,1.4409,0,1
hh_001,3,1.4411,1,1
hh_001,3,1.4416,1,1
hh_001,3,1.4424,1,1
hh_001,3,1.4445,1,1
hh_001,3,1.4448,1,1
hh_001,3,1.4458,1,1
hh_001,3,1.4466,1,1
hh_001,3,1.4801,1,1
hh_001,3,1.4821,1,1
hh_001,3,1.4822,1,1
hh_001,3,1.483,1,1
hh_001,3,1.4846,1,1
hh_001,3,1.4856,0,1
hh_001,3,1.4861,1,1
hh_001,3,1.4861,1,1
hh_001,3,1.4867,1,1
hh_001,3,1.4869,1,1
hh_001,3,1.488,0,1
hh_001,3,1.4882,1,1
hh_001,3,1.4889,1,1
hh_001,3,1.49,1,1
hh_001,3,1.4903,1,1
hh_001,3,1.4916,1,1
hh_001,3,1.4919,1,1
hh_001,3,1.4939,1,1
hh_001,3,1.4952,1,1
hh_001,3,1.4957,1,1
hh_001,3,1.4001,1,1
hh_001,3,1.4017,1,1
hh_001,3,1.4021,1,1
hh_001,3,1.4022,1,1
hh_001,3,1.404,1,1
hh_001,3,1.406,1,1
hh_001,4,1.4321,1,1
hh_001,4,1.4326,1,1
hh_001,4,1.4346,0,0
hh_001,4,1.4364,0,0
hh_001,4,1.7939,1,1
hh_001,4,1.7965,1,1
hh_001,4,1.7966,0,0
hh_001,4,1.7967,0,1
hh_001,4,1.7987,1,1
hh_001,4,1.804,1,1
hh_001,4,1.8043,1,1
hh_001,4,1.8058,0,0
hh_001,4,1.8071,1,0
hh_001,4,1.8077,1,0
hh_001,4,1.8082,1,1
hh_001,4,1.8085,0,1
hh_001,4,1.8087,1,1
hh_001,4,1.8088,1,1
hh_001,4,1.8108,1,1
hh_001,4,1.8137,1,1
hh_001,4,1.8141,0,0
hh_001,4,1.8392,1,1
hh_001,4,1.8399,1,1
hh_001,4,1.8404,0,0
hh_001,4,1.842,1,1
hh_001,4,1.8481,1,1
hh_001,4,1.8515,0,1
hh_001,4,1.8519,0,0
hh_001,4,1.855,1,1
hh_001,4,1.8573,1,1
hh_001,4,1.8582,1,1
hh_001,4,1.8594,1,1
hh_001,4,1.8732,1,1
hh_001,4,1.8741,1,1
hh_001,4,1.8814,0,1
hh_001,4,1.8825,1,1
hh_001,4,1.8857,1,1
hh_001,4,1.8873,1,1
hh_001,4,1.8951,1,1
hh_001,4,1.8965,0,0
hh_001,4,1.8976,1,1
hh_001,4,1.8987,1,1
