policy,hazard_class,question_type,n_rows,n_clusters,accuracy,accuracy_ci_lo,accuracy_ci_hi,brier,brier_ci_lo,brier_ci_hi,ece,abstain_rate,abstain_ci_lo,abstain_ci_hi,latency_s,travel_m
always_resense,stable,location,210,21,0.6189075630252101,0.4172268907563025,0.8235294117647058,0.5521428571428572,0.4015873015873016,0.7003968253968255,0.35398230088495575,0.4017460317460318,0.22222222222222224,0.5804761904761905,10.72146863009016,9.33689685966054
always_resense,stable,state,50,10,1.0,1.0,1.0,0.75,0.6,0.9,0.0,0.5,0.2,0.8,4.150549108512941,3.636490536555873
always_resense,volatile,location,505,21,0.5099583432768492,0.3426964717666116,0.6698809007593985,0.5129761904761905,0.4517800453514739,0.5756802721088435,0.44067796610169496,0.5809863945578231,0.471281179138322,0.6953174603174603,21.746775061036026,19.601066291199054
always_resense,volatile,state,90,15,0.9777777777777779,0.9333333333333333,1.0,0.76,0.6466666666666666,0.8766666666666667,0.020000000000000018,0.4666666666666667,0.23333333333333334,0.7,4.177155792649543,3.572347959204995
answer_immediately,stable,location,210,21,0.4764705882352941,0.2627450980392157,0.6882352941176471,0.4892857142857143,0.33968253968253964,0.6392857142857143,0.4516129032258065,0.356984126984127,0.19095238095238093,0.528888888888889,0.0,0.0
answer_immediately,stable,state,50,10,0.9199999999999999,0.8400000000000001,1.0,0.71,0.58,0.86,0.07999999999999996,0.5,0.2,0.8,0.0,0.0
answer_immediately,volatile,location,505,21,0.3662241534790554,0.23473309551740926,0.49984278611729593,0.43637188208616784,0.37798185941043083,0.4919501133786848,0.610236220472441,0.5424943310657596,0.43043083900226753,0.6578684807256236,0.0,0.0
answer_immediately,volatile,state,90,15,0.7666666666666667,0.5666666666666668,0.9333333333333333,0.6666666666666666,0.5433333333333333,0.7899999999999999,0.28,0.4666666666666667,0.23333333333333334,0.7,0.0,0.0
confidence_stop,stable,location,210,21,0.4764705882352941,0.2627450980392157,0.6882352941176471,0.4892857142857143,0.33968253968253964,0.6392857142857143,0.4516129032258065,0.356984126984127,0.19095238095238093,0.528888888888889,0.0,0.0
confidence_stop,stable,state,50,10,0.9199999999999999,0.8400000000000001,1.0,0.71,0.58,0.86,0.07999999999999996,0.5,0.2,0.8,0.0,0.0
confidence_stop,volatile,location,505,21,0.3662241534790554,0.23473309551740926,0.49984278611729593,0.43637188208616784,0.37798185941043083,0.4919501133786848,0.610236220472441,0.5424943310657596,0.43043083900226753,0.6578684807256236,0.0,0.0
confidence_stop,volatile,state,90,15,0.7666666666666667,0.5666666666666668,0.9333333333333333,0.6666666666666666,0.5433333333333333,0.7899999999999999,0.28,0.4666666666666667,0.23333333333333334,0.7,0.0,0.0
decay_threshold,stable,location,210,21,0.6147058823529411,0.4088235294117647,0.8205882352941176,0.6849778824343017,0.6105906954360402,0.7640299780618987,0.14289984685924764,0.39984126984126983,0.22047619047619046,0.5785714285714286,5.319579471641288,4.726323114741315
decay_threshold,stable,state,50,10,0.9199999999999999,0.8400000000000001,1.0,0.6763468558207746,0.5667564842388362,0.7945028066828443,0.25254619436272197,0.5,0.2,0.8,0.0,0.0
decay_threshold,volatile,location,505,21,0.4740280099540743,0.3204311771088754,0.6196136078056057,0.5925493728938478,0.5501676919639894,0.6345998759525959,0.12732493813829382,0.5761337868480725,0.4663265306122449,0.6901814058956917,17.79774992737992,16.103503652297416
decay_threshold,volatile,state,90,15,0.7666666666666667,0.5666666666666668,0.9333333333333333,0.6665910685837269,0.5833163616746257,0.7497857605405236,0.14032981909895925,0.4666666666666667,0.23333333333333334,0.7,0.0,0.0
decay_voi,stable,location,210,21,0.5254901960784314,0.3156862745098039,0.7333333333333334,0.6815675530869287,0.6047197462359593,0.7634604790059673,0.08827863453117378,0.3807936507936508,0.21031746031746032,0.5609523809523809,2.540634860635707,2.2565936515738696
decay_voi,stable,state,50,10,0.9199999999999999,0.8400000000000001,1.0,0.6763468558207746,0.5667564842388362,0.7945028066828443,0.25254619436272197,0.5,0.2,0.8,0.0,0.0
decay_voi,volatile,location,505,21,0.43843278611080466,0.2771140394979404,0.5990688686767118,0.6110809561201097,0.574691588951765,0.6477459690652515,0.06154622086673841,0.5616780045351474,0.44861678004535144,0.6738095238095239,2.4581770006938712,2.18419401426089
decay_voi,volatile,state,90,15,0.7666666666666667,0.5666666666666668,0.9333333333333333,0.6665910685837269,0.5833163616746257,0.7497857605405236,0.14032981909895925,0.4666666666666667,0.23333333333333334,0.7,0.0,0.0
decay_voi_routing,stable,location,210,21,0.5254901960784314,0.3156862745098039,0.7333333333333334,0.6815675530869287,0.6047197462359593,0.7634604790059673,0.08827863453117378,0.3807936507936508,0.21031746031746032,0.5609523809523809,2.540634860635707,2.2565936515738696
decay_voi_routing,stable,state,50,10,0.9199999999999999,0.8400000000000001,1.0,0.6763468558207746,0.5667564842388362,0.7945028066828443,0.25254619436272197,0.5,0.2,0.8,0.0,0.0
decay_voi_routing,volatile,location,505,21,0.43843278611080466,0.2771140394979404,0.5990688686767118,0.6110809561201097,0.574691588951765,0.6477459690652515,0.06154622086673841,0.5616780045351474,0.44861678004535144,0.6738095238095239,2.4581770006938712,2.18419401426089
decay_voi_routing,volatile,state,90,15,0.7666666666666667,0.5666666666666668,0.9333333333333333,0.6665910685837269,0.5833163616746257,0.7497857605405236,0.14032981909895925,0.4666666666666667,0.23333333333333334,0.7,0.0,0.0
tod_prior,stable,location,210,21,0.13333333333333333,0.017543859649122806,0.2912280701754386,0.2200793650793651,0.1327777777777778,0.3176984126984127,0.8909090909090909,0.3623809523809524,0.2107936507936508,0.5301587301587302,0.0,0.0
tod_prior,volatile,location,505,21,0.17973985890652558,0.07716049382716049,0.3114197530864197,0.372891156462585,0.3196031746031746,0.4256235827664399,0.875,0.6715646258503402,0.5775963718820861,0.7613378684807256,0.0,0.0
