policy,hazard_class,baseline_abstained_abstain,baseline_abstained_right,baseline_abstained_wrong,right_to_abstain,right_to_wrong,unchanged_right,unchanged_wrong,wrong_to_abstain,wrong_to_right
always_resense,stable,106,5,0,0,0,91,40,16,2
always_resense,volatile,270,12,9,1,0,134,96,38,35
confidence_stop,stable,111,0,0,0,0,91,58,0,0
confidence_stop,volatile,291,0,0,0,0,135,169,0,0
decay_threshold,stable,106,5,0,0,0,91,43,15,0
decay_threshold,volatile,270,12,9,0,0,135,118,36,15
decay_voi,stable,111,0,0,0,0,91,53,5,0
decay_voi,volatile,284,5,2,0,0,135,141,19,9
decay_voi_routing,stable,111,0,0,0,0,91,53,5,0
decay_voi_routing,volatile,284,5,2,0,0,135,141,19,9
tod_prior,stable,75,0,11,17,39,12,48,8,0
tod_prior,volatile,234,3,14,61,29,9,111,34,10
