anchor,distinct_objects
kitchen,29
dining.table,28
bedroom,27
bedroom.bed,27
kitchen.fridge,27
living_room,27
office.desk,26
living_room.tv,25
bedroom.wardrobe,24
kitchen.table,22
dining_room,22
living_room.open_floor,21
dining,20
kitchen.counter,20
outdoor.bench,18
living_room.sofa,17
tv,15
bathroom.bathtub,15
office.tv,15
outdoor,14
bathroom.toilet,14
outdoor.table,14
office,14
kitchen.oven,13
office.counter,12
outdoor.bed,10
laundry_room.washer_dryer,10
dining_room.tv,9
kitchen.range_hood,8
dining_room.counter,8
office.fridge,8
living_room.bed,8
dining_room.stand,7
kitchen.shower,7
dining_room.dishwasher,7
bathroom.shower,7
office.bed,6
dining_room.fridge,6
kitchen.couch,6
office.dishwasher,6
office.wardrobe,5
living_room.fireplace,5
outdoor.tv,5
outdoor.fridge,5
kitchen.cabinet,5
kitchen.sink,5
office.bench,5
living_room.counter,4
bedroom.nightstand,4
bedroom.tv,4
outdoor.stand,3
living_room.dishwasher,3
bedroom.counter,3
kitchen.bathtub,3
dining_room.cabinet,3
outdoor.counter,3
outdoor.dishwasher,3
dining_room.wardrobe,3
outdoor.wardrobe,3
laundry_room.bed,3
laundry_room.table,3
office.stand,2
outdoor.couch,2
kitchen.dishwasher,2
bathroom.counter,2
office.shelf,2
dining_room.bench,2
outdoor.fireplace,2
kitchen.tv,2
office.couch,2
outdoor.shelves,2
dining_room.sink,2
outdoor.cabinet,1
dining_room.washer_dryer,1
bedroom.dishwasher,1
kitchen.bed,1
laundry_room.counter,1
outdoor.bathtub,1
bathroom.table,1
bedroom.chest_of_drawers,1
kitchen.bench,1
living_room.shelf,1
kitchen.shelves,1
laundry_room.fridge,1
laundry_room.cabinet,1
laundry_room.stand,1
kitchen.wardrobe,1
kitchen.washer_dryer,1
laundry_room.tv,1
living_room.fridge,1
dining_room.oven,1
dining_room.bathtub,1
outdoor.washer_dryer,1
