category,profile,move_count,mean_dwell_hours,n_dwell_samples
book,college_student_alone,32,3.575,18
book,college_students_shared_house,184,1.464,164
book,family_with_kids,330,1.577,292
book,family_with_teens,76,1.810,66
book,family_with_toddler,264,1.396,235
book,night_shift_worker_alone,36,6.700,16
book,roommates_shared_house,46,3.478,37
book,single_parent_young_kids,86,2.000,76
book,single_professional_commuter,50,2.454,40
book,single_retiree,44,2.820,30
book,young_professional_couple,102,2.736,74
bottle,college_student_alone,16,5.652,8
bottle,college_students_shared_house,286,1.027,266
bottle,family_with_kids,168,1.051,154
bottle,family_with_teens,198,0.801,188
bottle,family_with_toddler,132,1.166,122
bottle,night_shift_worker_alone,58,3.807,38
bottle,roommates_shared_house,103,48.594,94
bottle,single_retiree,8,3.340,3
bottle,young_professional_couple,120,2.164,100
bowl,college_student_alone,56,3.355,36
bowl,college_students_shared_house,194,1.538,174
bowl,family_with_kids,356,0.947,332
bowl,family_with_teens,184,0.717,174
bowl,family_with_toddler,280,0.558,270
bowl,night_shift_worker_alone,64,3.990,44
bowl,roommates_shared_house,101,42.528,92
bowl,single_retiree,68,1.486,53
bowl,young_professional_couple,234,1.612,204
candle,college_students_shared_house,108,1.988,88
candle,family_with_kids,209,2.304,171
candle,family_with_teens,46,3.270,36
candle,family_with_toddler,223,1.551,194
candle,night_shift_worker_alone,24,1.337,10
candle,roommates_shared_house,40,2.923,31
candle,single_parent_young_kids,76,1.118,66
candle,single_professional_commuter,28,3.497,18
candle,single_retiree,22,4.337,11
candle,young_professional_couple,76,2.254,56
chair,college_student_alone,8,1.296,4
chair,college_students_shared_house,64,2.118,44
chair,family_with_kids,118,2.066,88
chair,family_with_teens,24,1.385,14
chair,family_with_toddler,175,1.590,146
chair,roommates_shared_house,31,209.040,22
chair,single_professional_commuter,8,5.279,4
chair,single_retiree,26,3.218,13
chair,young_professional_couple,24,4.162,8
cup,college_student_alone,82,2.136,64
cup,college_students_shared_house,154,0.835,144
cup,family_with_kids,440,0.659,420
cup,family_with_teens,258,0.638,248
cup,single_parent_young_kids,152,1.098,142
cup,young_professional_couple,144,0.967,134
drinkware,family_with_kids,163,1.039,149
drinkware,family_with_teens,76,1.166,68
fridge,family_with_toddler,9,2.307,2
fridge::door,college_student_alone,0,1.517,68
fridge::door,college_students_shared_house,0,0.576,238
fridge::door,family_with_kids,0,0.568,351
fridge::door,family_with_toddler,0,0.465,257
fridge::door,night_shift_worker_alone,0,1.339,74
fridge::door,roommates_shared_house,0,22.210,88
fridge::door,single_parent_young_kids,0,0.718,93
fridge::door,single_professional_commuter,0,0.868,69
fridge::door,single_retiree,0,1.261,39
fridge::door,young_professional_couple,0,0.927,205
keys,college_student_alone,30,6.149,12
keys,college_students_shared_house,148,3.925,82
keys,family_with_kids,214,4.330,104
keys,family_with_teens,48,4.785,26
keys,family_with_toddler,131,3.991,64
keys,night_shift_worker_alone,24,3.418,10
keys,roommates_shared_house,48,4.589,29
keys,single_parent_young_kids,38,4.946,16
keys,single_professional_commuter,30,6.099,12
keys,single_retiree,10,1.386,3
keys,young_professional_couple,76,5.322,34
laptop,college_student_alone,58,2.366,38
laptop,college_students_shared_house,148,3.786,76
laptop,family_with_kids,341,3.126,216
laptop,family_with_teens,44,3.081,18
laptop,family_with_toddler,124,4.148,61
laptop,night_shift_worker_alone,26,3.304,10
laptop,roommates_shared_house,60,4.758,37
laptop,single_parent_young_kids,36,4.994,18
laptop,single_professional_commuter,38,5.308,20
laptop,single_retiree,11,6.002,4
laptop,young_professional_couple,102,4.588,50
oven::power,young_professional_couple,0,1.180,55
phone,college_student_alone,66,3.522,46
phone,college_students_shared_house,180,3.192,112
phone,family_with_kids,429,3.208,293
phone,family_with_teens,70,4.071,40
phone,family_with_toddler,191,4.365,110
phone,night_shift_worker_alone,34,3.122,18
phone,roommates_shared_house,72,3.418,49
phone,single_parent_young_kids,68,3.550,44
phone,single_professional_commuter,52,4.231,34
phone,single_retiree,22,4.129,10
phone,young_professional_couple,146,4.271,94
potted_plant,college_students_shared_house,6,4.562,2
potted_plant,family_with_kids,276,1.569,238
potted_plant,family_with_teens,36,2.379,26
potted_plant,family_with_toddler,74,2.586,47
potted_plant,single_parent_young_kids,92,1.552,82
potted_plant,single_professional_commuter,28,2.516,20
potted_plant,single_retiree,37,2.173,27
potted_plant,young_professional_couple,58,3.716,30
stool,college_student_alone,8,10.576,2
stool,college_students_shared_house,68,2.844,48
stool,family_with_kids,314,1.710,276
stool,family_with_teens,100,1.547,90
stool,family_with_toddler,121,2.094,102
stool,night_shift_worker_alone,10,9.747,2
stool,roommates_shared_house,46,2.656,38
stool,single_parent_young_kids,98,1.427,88
stool,single_professional_commuter,22,6.490,14
stool,young_professional_couple,14,3.464,6
tv,family_with_kids,3,0.658,1
tv,family_with_toddler,27,1.798,10
tv,roommates_shared_house,6,1.860,2
tv::power,college_student_alone,0,0.636,1
tv::power,college_students_shared_house,0,0.787,2
tv::power,family_with_kids,0,0.980,29
tv::power,family_with_teens,0,0.730,6
tv::power,family_with_toddler,0,0.768,4
tv::power,night_shift_worker_alone,0,2.428,3
tv::power,roommates_shared_house,0,0.804,3
tv::power,single_retiree,0,1.914,6
tv::power,young_professional_couple,0,1.278,17
vase,college_student_alone,8,2.843,2
vase,college_students_shared_house,32,3.198,22
vase,family_with_kids,188,2.289,152
vase,family_with_teens,34,2.074,26
vase,family_with_toddler,128,2.133,101
vase,roommates_shared_house,43,91.634,34
vase,single_professional_commuter,38,3.757,28
vase,single_retiree,26,4.133,12
vase,young_professional_couple,42,3.321,20
wallet,college_student_alone,30,4.878,16
wallet,college_students_shared_house,98,3.742,48
wallet,family_with_kids,259,4.721,141
wallet,family_with_teens,36,3.842,12
wallet,family_with_toddler,132,4.401,61
wallet,roommates_shared_house,56,3.231,35
wallet,single_parent_young_kids,16,12.319,2
wallet,single_professional_commuter,32,3.517,18
wallet,young_professional_couple,66,5.946,26
wardrobe,roommates_shared_house,4,1.309,1
wardrobe::door,college_student_alone,0,1.581,47
wardrobe::door,college_students_shared_house,0,0.861,105
