category,n,mean_hours,median_hours,stdev_hours,p25_hours,p75_hours
cup,1152,0.849,0.450,1.116,0.192,1.082
drinkware,217,1.079,0.618,1.479,0.196,1.234
tv::power,71,1.141,0.828,0.869,0.699,1.242
oven::power,55,1.180,0.479,1.366,0.199,1.648
wardrobe,1,1.309,1.309,0.000,1.309,1.309
tv,13,1.720,1.245,1.437,1.106,1.860
book,1048,1.895,1.090,2.444,0.374,2.425
potted_plant,472,1.936,1.199,2.112,0.463,2.707
fridge::door,1482,2.010,0.367,28.981,0.157,0.835
stool,666,2.012,1.255,2.261,0.480,2.675
candle,681,2.059,1.349,2.186,0.462,2.808
fridge,2,2.307,2.307,0.896,1.673,1.673
wardrobe::door,1190,2.750,0.305,34.438,0.103,0.767
phone,850,3.610,2.705,3.307,0.977,5.184
laptop,548,3.686,2.739,3.186,1.171,5.384
bowl,1379,3.969,0.554,47.735,0.208,1.530
keys,392,4.414,3.362,3.581,1.613,6.198
wallet,359,4.439,3.699,3.526,1.710,6.176
bottle,973,5.871,0.690,63.651,0.241,1.752
vase,397,10.151,1.901,107.374,0.722,3.633
chair,343,15.239,1.368,171.747,0.519,2.867
