axis,wait_hours,bin_lo,bin_hi,mean_predicted,observed_frequency,n
location,0.25,0.0,0.1,0.025426312671281936,0.631578947368421,19
location,0.25,0.7,0.8,0.7452320236833868,0.8333333333333334,12
location,0.25,0.8,0.9,0.8682438629919901,0.875,16
location,0.25,0.9,1.0,0.9214332683336555,0.9565217391304348,23
location,0.5,0.0,0.1,0.04691503198736254,0.631578947368421,19
location,0.5,0.5,0.6,0.563716349281221,0.5833333333333334,12
location,0.5,0.7,0.8,0.7333733971333394,0.8181818181818182,11
location,0.5,0.8,0.9,0.8434249005163953,0.6785714285714286,28
location,1.0,0.0,0.1,0.0734550581083799,0.35714285714285715,14
location,1.0,0.1,0.2,0.10203192085786132,0.4,5
location,1.0,0.3,0.4,0.3422501100184323,0.5,12
location,1.0,0.5,0.6,0.5418879355295738,0.4,10
location,1.0,0.6,0.7,0.66942605145646,0.5,12
location,1.0,0.7,0.8,0.7462721912580297,0.7647058823529411,17
location,2.0,0.0,0.1,0.0941735711623543,0.3333333333333333,3
location,2.0,0.1,0.2,0.14940153840961906,0.32142857142857145,28
location,2.0,0.3,0.4,0.33113093522248577,0.3,10
location,2.0,0.4,0.5,0.4607060766957107,0.2727272727272727,11
location,2.0,0.5,0.6,0.5557966422247353,0.5714285714285714,14
location,2.0,0.6,0.7,0.6228477647650148,0.75,4
location,4.0,0.1,0.2,0.15573551902249017,0.05555555555555555,36
location,4.0,0.2,0.3,0.251479916799872,0.17647058823529413,17
location,4.0,0.3,0.4,0.3682337985053815,0.21428571428571427,14
location,4.0,0.4,0.5,0.4256750079597665,0.6666666666666666,3
state,0.25,0.8,0.9,0.8268272004861116,0.42424242424242425,66
state,0.5,0.6,0.7,0.685113575713566,0.4444444444444444,27
state,0.5,0.7,0.8,0.7345719469099508,0.20512820512820512,39
state,1.0,0.5,0.6,0.5685340718269243,0.14814814814814814,27
state,1.0,0.6,0.7,0.6100479965542495,0.10256410256410256,39
state,2.0,0.5,0.6,0.5181554155548596,0.06060606060606061,66
state,4.0,0.5,0.6,0.5007655285619204,0.0,66
