belief,budget,room_change_cost,best_cost_aware,cost_aware_accuracy,cost_aware_ci,cost_aware_senses_per_q,best_cost_blind,cost_blind_accuracy,cost_blind_senses_per_q,gap,gap_vs_c0
LastObservation,24,0,VoIBudgetPriceSense_gamma0.1,0.649956,"[0.644, 0.656]",0.253244,ResolvableMassSense_best,0.655111,0.239467,-0.005155,0.0
LastObservation,24,0.25,VoIBudgetPriceSense_gamma0.1,0.6376,"[0.631, 0.644]",0.220089,ResolvableMassSense_best,0.644711,0.2132,-0.007111,-0.001956
LastObservation,24,0.5,VoIBudgetPriceSense_gamma0.1,0.637644,"[0.631, 0.644]",0.2172,ResolvableMassSense_best,0.637333,0.193511,0.000311,0.005466
LastObservation,24,1,VoIBudgetPriceSense_gamma0.1,0.634578,"[0.628, 0.641]",0.195556,ResolvableMassSense_best,0.632311,0.169956,0.002267,0.007422
LastObservation,24,2,VoIBudgetPriceSense_gamma0.1,0.625956,"[0.620, 0.632]",0.162844,ResolvableMassSense_best,0.6204,0.137556,0.005556,0.010711
LastObservation,90,0,VoIBudgetPriceSense_gamma0.1,0.705467,"[0.699, 0.711]",0.815289,ResolvableMassSense_best,0.805911,0.780711,-0.100444,0.0
LastObservation,90,0.25,VoIBudgetPriceSense_gamma0.1,0.704756,"[0.699, 0.711]",0.782978,ResolvableMassSense_best,0.78,0.708756,-0.075244,0.0252
LastObservation,90,0.5,VoIBudgetPriceSense_gamma0.1,0.701511,"[0.695, 0.707]",0.741556,ResolvableMassSense_best,0.764844,0.650133,-0.063333,0.037111
LastObservation,90,1,VoIBudgetPriceSense_gamma0.1,0.6936,"[0.688, 0.700]",0.659378,ResolvableMassSense_best,0.733378,0.559822,-0.039778,0.060666
LastObservation,90,2,VoIBudgetPriceSense_gamma0.1,0.682356,"[0.676, 0.688]",0.5516,ResolvableMassSense_best,0.696622,0.4368,-0.014266,0.086178
PeriodicPersistence,24,0,VoIThresholdSense_lambda0.05,0.681422,"[0.675, 0.687]",0.243156,ResolvableMassSense_best,0.690444,0.205733,-0.009022,0.0
PeriodicPersistence,24,0.25,VoIThresholdSense_lambda0.05,0.677733,"[0.672, 0.684]",0.209333,ResolvableMassSense_best,0.682844,0.1904,-0.005111,0.003911
PeriodicPersistence,24,0.5,VoIThresholdSense_lambda0.05,0.676889,"[0.671, 0.683]",0.190222,ResolvableMassSense_best,0.674,0.178533,0.002889,0.011911
PeriodicPersistence,24,1,VoIThresholdSense_lambda0.05,0.67,"[0.664, 0.676]",0.167556,ResolvableMassSense_best,0.662667,0.15,0.007333,0.016355
PeriodicPersistence,24,2,VoIThresholdSense_lambda0.05,0.655067,"[0.649, 0.661]",0.1344,ResolvableMassSense_best,0.645689,0.112044,0.009378,0.0184
PeriodicPersistence,90,0,VoIThresholdSense_lambda0.02,0.776933,"[0.771, 0.782]",0.851244,ResolvableMassSense_best,0.852933,0.962711,-0.076,0.0
PeriodicPersistence,90,0.25,VoIThresholdSense_lambda0.02,0.767511,"[0.762, 0.773]",0.743289,ResolvableMassSense_best,0.816044,0.828133,-0.048533,0.027467
PeriodicPersistence,90,0.5,VoIThresholdSense_lambda0.02,0.762978,"[0.757, 0.768]",0.677867,ResolvableMassSense_best,0.79,0.731689,-0.027022,0.048978
PeriodicPersistence,90,1,VoIThresholdSense_lambda0.02,0.756667,"[0.751, 0.762]",0.5804,ResolvableMassSense_best,0.748089,0.592178,0.008578,0.084578
PeriodicPersistence,90,2,VoIThresholdSense_lambda0.02,0.733956,"[0.728, 0.740]",0.441822,ResolvableMassSense_best,0.705689,0.435644,0.028267,0.104267
PerpetuaStar,24,0,VoIThresholdSense_lambda0.2,0.631111,"[0.625, 0.637]",0.260578,ResolvableMassSense_best,0.616978,0.266178,0.014133,0.0
PerpetuaStar,24,0.25,VoIThresholdSense_lambda0.2,0.629867,"[0.624, 0.636]",0.225822,ResolvableMassSense_best,0.611911,0.225911,0.017956,0.003823
PerpetuaStar,24,0.5,VoIThresholdSense_lambda0.2,0.628133,"[0.622, 0.634]",0.200667,ResolvableMassSense_best,0.605511,0.199156,0.022622,0.008489
PerpetuaStar,24,1,VoIThresholdSense_lambda0.2,0.595111,"[0.589, 0.602]",0.131556,ResolvableMassSense_best,0.592889,0.163378,0.002222,-0.011911
