belief,policy,budget,regime,n,task_accuracy,senses_per_question
LastObservation,NeverSense,24,came_back,67,1.0,0.0
LastObservation,NeverSense,24,stale_in_house,66,0.7273,0.0
LastObservation,NeverSense,24,truly_out,67,0.0,0.0
LastObservation,NeverSense,90,came_back,67,1.0,0.0
LastObservation,NeverSense,90,stale_in_house,66,0.5455,0.0
LastObservation,NeverSense,90,truly_out,67,0.0,0.0
LastObservation,SequentialSearch,24,came_back,67,0.6716,0.1194
LastObservation,SequentialSearch,24,stale_in_house,66,0.8182,0.0758
LastObservation,SequentialSearch,24,truly_out,67,0.0,0.0
LastObservation,SequentialSearch,90,came_back,67,0.7313,0.7313
LastObservation,SequentialSearch,90,stale_in_house,66,0.7424,0.697
LastObservation,SequentialSearch,90,truly_out,67,0.2239,5.6866
LastObservation,StarScripted,24,came_back,67,0.9104,0.0448
LastObservation,StarScripted,24,stale_in_house,66,0.7879,0.2879
LastObservation,StarScripted,24,truly_out,67,0.0,0.1493
LastObservation,StarScripted,90,came_back,67,0.7463,0.0896
LastObservation,StarScripted,90,stale_in_house,66,0.6364,0.2576
LastObservation,StarScripted,90,truly_out,67,0.0,0.1493
LastObservation,VoIBest,24,came_back,67,0.7164,0.3881
LastObservation,VoIBest,24,stale_in_house,66,0.8182,0.0
LastObservation,VoIBest,24,truly_out,67,0.0149,0.3433
LastObservation,VoIBest,90,came_back,67,0.791,0.4478
LastObservation,VoIBest,90,stale_in_house,66,0.803,0.6667
LastObservation,VoIBest,90,truly_out,67,0.2239,5.4776
PerpetuaStar,NeverSense,24,came_back,67,0.6866,0.0
PerpetuaStar,NeverSense,24,stale_in_house,66,0.697,0.0
PerpetuaStar,NeverSense,24,truly_out,67,0.0,0.0
PerpetuaStar,NeverSense,90,came_back,67,0.5075,0.0
PerpetuaStar,NeverSense,90,stale_in_house,66,0.5909,0.0
PerpetuaStar,NeverSense,90,truly_out,67,0.0,0.0
PerpetuaStar,SequentialSearch,24,came_back,67,0.5821,0.1791
PerpetuaStar,SequentialSearch,24,stale_in_house,66,0.7879,0.0909
PerpetuaStar,SequentialSearch,24,truly_out,67,0.0,0.0
PerpetuaStar,SequentialSearch,90,came_back,67,0.6567,0.4627
PerpetuaStar,SequentialSearch,90,stale_in_house,66,0.7121,0.7727
PerpetuaStar,SequentialSearch,90,truly_out,67,0.0,5.6119
PerpetuaStar,StarScripted,24,came_back,67,0.7761,0.0448
PerpetuaStar,StarScripted,24,stale_in_house,66,0.7727,0.2879
PerpetuaStar,StarScripted,24,truly_out,67,0.0,0.1493
PerpetuaStar,StarScripted,90,came_back,67,0.5373,0.0896
PerpetuaStar,StarScripted,90,stale_in_house,66,0.7121,0.2576
PerpetuaStar,StarScripted,90,truly_out,67,0.0,0.1493
PerpetuaStar,VoIBest,24,came_back,67,0.7612,0.1642
PerpetuaStar,VoIBest,24,stale_in_house,66,0.8485,0.1515
PerpetuaStar,VoIBest,24,truly_out,67,0.0,0.4776
PerpetuaStar,VoIBest,90,came_back,67,0.7463,0.7463
PerpetuaStar,VoIBest,90,stale_in_house,66,0.7879,0.5455
PerpetuaStar,VoIBest,90,truly_out,67,0.0,1.8955
