belief,policy,budget,day_index,n,task_accuracy,belief_accuracy,senses_per_question
LastObservation,ConformalGlobal_best,24,3,900,0.681111,0.634381,0.234444
LastObservation,ConformalGlobal_best,24,4,900,0.636667,0.567827,0.247778
LastObservation,ConformalGlobal_best,24,5,900,0.672222,0.654908,0.242222
LastObservation,ConformalGlobal_best,24,6,900,0.728889,0.728342,0.217778
LastObservation,ConformalGlobal_best,24,7,900,0.612222,0.570018,0.241111
LastObservation,ConformalGlobal_best,24,8,900,0.633333,0.596388,0.25
LastObservation,ConformalGlobal_best,24,9,900,0.647778,0.601377,0.244444
LastObservation,ConformalGlobal_best,24,10,900,0.635556,0.601265,0.266667
LastObservation,ConformalGlobal_best,24,11,900,0.657778,0.59458,0.244444
LastObservation,ConformalGlobal_best,24,12,900,0.717778,0.702573,0.226667
LastObservation,ConformalGlobal_best,24,13,900,0.73,0.734984,0.195556
LastObservation,ConformalGlobal_best,24,14,900,0.626667,0.582392,0.212222
LastObservation,ConformalGlobal_best,24,15,900,0.595556,0.583749,0.255556
LastObservation,ConformalGlobal_best,24,16,900,0.616667,0.569397,0.261111
LastObservation,ConformalGlobal_best,24,17,900,0.611111,0.57014,0.257778
LastObservation,ConformalGlobal_best,24,18,900,0.625556,0.553369,0.241111
LastObservation,ConformalGlobal_best,24,19,900,0.684444,0.673079,0.204444
LastObservation,ConformalGlobal_best,24,20,900,0.74,0.720117,0.176667
LastObservation,ConformalGlobal_best,24,21,900,0.64,0.564271,0.223333
LastObservation,ConformalGlobal_best,24,22,900,0.623333,0.580356,0.262222
LastObservation,ConformalGlobal_best,24,23,900,0.62,0.574266,0.266667
LastObservation,ConformalGlobal_best,24,24,900,0.602222,0.573434,0.254444
LastObservation,ConformalGlobal_best,24,25,900,0.617778,0.553197,0.262222
LastObservation,ConformalGlobal_best,24,26,900,0.667778,0.662261,0.233333
LastObservation,ConformalGlobal_best,24,27,900,0.717778,0.721624,0.207778
LastObservation,ConformalGlobal_best,90,3,900,0.805556,0.688341,0.812222
LastObservation,ConformalGlobal_best,90,4,900,0.816667,0.655766,0.787778
LastObservation,ConformalGlobal_best,90,5,900,0.797778,0.73625,0.613333
LastObservation,ConformalGlobal_best,90,6,900,0.796667,0.788121,0.583333
LastObservation,ConformalGlobal_best,90,7,900,0.712222,0.626709,0.646667
LastObservation,ConformalGlobal_best,90,8,900,0.795556,0.664379,0.765556
LastObservation,ConformalGlobal_best,90,9,900,0.802222,0.665464,0.732222
LastObservation,ConformalGlobal_best,90,10,900,0.744444,0.665639,0.737778
LastObservation,ConformalGlobal_best,90,11,900,0.808889,0.675986,0.75
LastObservation,ConformalGlobal_best,90,12,900,0.796667,0.781496,0.546667
LastObservation,ConformalGlobal_best,90,13,900,0.804444,0.786723,0.455556
LastObservation,ConformalGlobal_best,90,14,900,0.771111,0.642232,0.734444
LastObservation,ConformalGlobal_best,90,15,900,0.746667,0.643312,0.755556
LastObservation,ConformalGlobal_best,90,16,900,0.8,0.638525,0.85
LastObservation,ConformalGlobal_best,90,17,900,0.765556,0.642826,0.753333
LastObservation,ConformalGlobal_best,90,18,900,0.787778,0.628288,0.768889
LastObservation,ConformalGlobal_best,90,19,900,0.775556,0.740233,0.602222
LastObservation,ConformalGlobal_best,90,20,900,0.838889,0.801459,0.634444
LastObservation,ConformalGlobal_best,90,21,900,0.764444,0.628599,0.724444
LastObservation,ConformalGlobal_best,90,22,900,0.802222,0.660856,0.772222
LastObservation,ConformalGlobal_best,90,23,900,0.81,0.660751,0.848889
LastObservation,ConformalGlobal_best,90,24,900,0.78,0.666278,0.74
LastObservation,ConformalGlobal_best,90,25,900,0.77,0.635957,0.76
LastObservation,ConformalGlobal_best,90,26,900,0.738889,0.735392,0.671111
LastObservation,ConformalGlobal_best,90,27,900,0.775556,0.766989,0.545556
LastObservation,NeverSense,24,3,900,0.604444,0.601335,0.0
LastObservation,NeverSense,24,4,900,0.546667,0.53062,0.0
LastObservation,NeverSense,24,5,900,0.633333,0.626977,0.0
LastObservation,NeverSense,24,6,900,0.697778,0.693029,0.0
LastObservation,NeverSense,24,7,900,0.551111,0.543833,0.0
LastObservation,NeverSense,24,8,900,0.562222,0.55385,0.0
LastObservation,NeverSense,24,9,900,0.574444,0.565618,0.0
LastObservation,NeverSense,24,10,900,0.565556,0.559114,0.0
LastObservation,NeverSense,24,11,900,0.571111,0.554638,0.0
LastObservation,NeverSense,24,12,900,0.67,0.662381,0.0
LastObservation,NeverSense,24,13,900,0.704444,0.701532,0.0
LastObservation,NeverSense,24,14,900,0.546667,0.541543,0.0
LastObservation,NeverSense,24,15,900,0.521111,0.531061,0.0
LastObservation,NeverSense,24,16,900,0.524444,0.521049,0.0
LastObservation,NeverSense,24,17,900,0.546667,0.548182,0.0
LastObservation,NeverSense,24,18,900,0.534444,0.526781,0.0
LastObservation,NeverSense,24,19,900,0.641111,0.640301,0.0
LastObservation,NeverSense,24,20,900,0.71,0.692163,0.0
LastObservation,NeverSense,24,21,900,0.556667,0.54085,0.0
LastObservation,NeverSense,24,22,900,0.548889,0.540073,0.0
LastObservation,NeverSense,24,23,900,0.55,0.544161,0.0
LastObservation,NeverSense,24,24,900,0.521111,0.537295,0.0
LastObservation,NeverSense,24,25,900,0.513333,0.509925,0.0
LastObservation,NeverSense,24,26,900,0.611111,0.626421,0.0
LastObservation,NeverSense,24,27,900,0.666667,0.691378,0.0
LastObservation,NeverSense,90,3,900,0.604444,0.601261,0.0
LastObservation,NeverSense,90,4,900,0.547778,0.530503,0.0
LastObservation,NeverSense,90,5,900,0.633333,0.627009,0.0
LastObservation,NeverSense,90,6,900,0.697778,0.69291,0.0
LastObservation,NeverSense,90,7,900,0.551111,0.543933,0.0
LastObservation,NeverSense,90,8,900,0.562222,0.553914,0.0
LastObservation,NeverSense,90,9,900,0.574444,0.565491,0.0
LastObservation,NeverSense,90,10,900,0.565556,0.559114,0.0
LastObservation,NeverSense,90,11,900,0.571111,0.554556,0.0
LastObservation,NeverSense,90,12,900,0.67,0.662381,0.0
LastObservation,NeverSense,90,13,900,0.703333,0.701514,0.0
LastObservation,NeverSense,90,14,900,0.546667,0.541513,0.0
LastObservation,NeverSense,90,15,900,0.521111,0.531061,0.0
LastObservation,NeverSense,90,16,900,0.524444,0.521049,0.0
LastObservation,NeverSense,90,17,900,0.546667,0.547911,0.0
LastObservation,NeverSense,90,18,900,0.534444,0.526432,0.0
LastObservation,NeverSense,90,19,900,0.641111,0.640301,0.0
LastObservation,NeverSense,90,20,900,0.71,0.692163,0.0
LastObservation,NeverSense,90,21,900,0.556667,0.540394,0.0
LastObservation,NeverSense,90,22,900,0.548889,0.540012,0.0
LastObservation,NeverSense,90,23,900,0.55,0.544072,0.0
LastObservation,NeverSense,90,24,900,0.521111,0.537295,0.0
LastObservation,NeverSense,90,25,900,0.512222,0.509894,0.0
LastObservation,NeverSense,90,26,900,0.611111,0.626421,0.0
LastObservation,NeverSense,90,27,900,0.666667,0.691408,0.0
LastObservation,ResolvableMassSense_best,24,3,900,0.655556,0.628142,0.26
LastObservation,ResolvableMassSense_best,24,4,900,0.642222,0.563445,0.264444
