belief,policy,budget,belief_name,policy_name,n_households,n_questions,task_accuracy,belief_accuracy,senses_per_question,senses_per_day,forced_answer_rate,median_ess
LastObservation,ConformalGlobal_best,24,LastObservation,"ConformalSense(alpha=0.4,global)",10,22500,0.653689,0.618732,0.2372,21.348,0.0,
LastObservation,ConformalGlobal_best,90,LastObservation,"ConformalSense(alpha=0.5,global)",10,22500,0.784311,0.689063,0.703689,63.332,0.0,
LastObservation,NeverSense,24,LastObservation,NeverSense,10,22500,0.586933,0.583364,0.0,0.0,0.0,
LastObservation,NeverSense,90,LastObservation,NeverSense,10,22500,0.586889,0.5833,0.0,0.0,0.0,
LastObservation,ResolvableMassSense_best,24,LastObservation,"ResolvableMassSense(alpha=0.3,tau=0.8,global)",10,22500,0.655111,0.62233,0.239467,21.552,0.0,
LastObservation,ResolvableMassSense_best,90,LastObservation,"ResolvableMassSense(alpha=0.2,tau=0.6,global)",10,22500,0.805911,0.700955,0.780711,70.264,0.0,
LastObservation,SequentialSearch,24,LastObservation,SequentialSearch,10,22500,0.641511,0.627009,0.266667,24.0,0.0,
LastObservation,SequentialSearch,90,LastObservation,SequentialSearch,10,22500,0.705689,0.669914,1.0,90.0,0.0,
LastObservation,VoIBudgetPriceSense_gamma0.01,24,LastObservation,"VoIBudgetPriceSense(gamma=0.01,lambda0=0.05)",10,22500,0.649822,0.631782,0.248133,22.332,0.0,
LastObservation,VoIBudgetPriceSense_gamma0.01,90,LastObservation,"VoIBudgetPriceSense(gamma=0.01,lambda0=0.05)",10,22500,0.703956,0.669754,0.8252,74.268,0.0,
LastObservation,VoIBudgetPriceSense_gamma0.05,24,LastObservation,"VoIBudgetPriceSense(gamma=0.05,lambda0=0.05)",10,22500,0.648756,0.630382,0.249822,22.484,0.0,
LastObservation,VoIBudgetPriceSense_gamma0.05,90,LastObservation,"VoIBudgetPriceSense(gamma=0.05,lambda0=0.05)",10,22500,0.704622,0.670203,0.811822,73.064,0.0,
LastObservation,VoIBudgetPriceSense_gamma0.1,24,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.649956,0.63198,0.253244,22.792,0.0,
LastObservation,VoIBudgetPriceSense_gamma0.1,90,LastObservation,"VoIBudgetPriceSense(gamma=0.1,lambda0=0.05)",10,22500,0.705467,0.671071,0.815289,73.376,0.0,
LastObservation,VoIThresholdSense_lambda0.01,24,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.630978,0.617374,0.204622,18.416,0.0,
LastObservation,VoIThresholdSense_lambda0.01,90,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.676622,0.644475,0.587867,52.908,0.0,
LastObservation,VoIThresholdSense_lambda0.01,soft,LastObservation,VoIThresholdSense(lambda=0.01),10,22500,0.746133,0.684199,1.224933,110.244,0.0,
LastObservation,VoIThresholdSense_lambda0.02,24,LastObservation,VoIThresholdSense(lambda=0.02),10,22500,0.622578,0.609652,0.141556,12.74,0.0,
LastObservation,VoIThresholdSense_lambda0.02,90,LastObservation,VoIThresholdSense(lambda=0.02),10,22500,0.646667,0.622805,0.245022,22.052,0.0,
LastObservation,VoIThresholdSense_lambda0.02,soft,LastObservation,VoIThresholdSense(lambda=0.02),10,22500,0.652978,0.626599,0.270978,24.388,0.0,
LastObservation,VoIThresholdSense_lambda0.05,24,LastObservation,VoIThresholdSense(lambda=0.05),10,22500,0.595956,0.589554,0.040089,3.608,0.0,
