agent,belief,policy,budget_per_day,stratum_type,stratum,n_questions,task_accuracy,belief_accuracy,attention_gap,mean_budget_per_question,mean_budget_per_day
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,overall,all,44,0.6590909090909091,0.6818181818181818,-0.022727272727272707,0.45454545454545453,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,blanket,2,0.5,0.5,0.0,0.0,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,book,3,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,bowl,12,0.5833333333333334,0.6666666666666666,-0.08333333333333326,0.5833333333333334,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,charger,1,1.0,1.0,0.0,0.0,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,headphones,4,0.25,0.25,0.0,0.25,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,jacket,3,0.3333333333333333,0.3333333333333333,0.0,0.0,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,keys,3,1.0,1.0,0.0,1.0,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,medication_bottle,3,1.0,1.0,0.0,0.3333333333333333,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,mug,3,0.6666666666666666,0.5,0.16666666666666663,0.0,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,phone,1,1.0,1.0,0.0,1.0,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,plate,1,0.0,0.0,0.0,1.0,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,remote,4,1.0,1.0,0.0,0.5,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,umbrella,1,1.0,1.0,0.0,1.0,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,wallet,1,1.0,1.0,0.0,0.0,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,water_bottle,2,1.0,1.0,0.0,0.5,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,3,4,0.75,0.7058823529411765,0.044117647058823484,0.5,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,4,4,0.5,0.6470588235294118,-0.1470588235294118,0.5,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,5,4,1.0,0.6911764705882353,0.3088235294117647,0.5,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,6,4,0.75,0.7794117647058824,-0.02941176470588236,0.5,1.8181818181818181
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,7,4,1.0,0.7352941176470589,0.2647058823529411,0.5,1.8181818181818181
