agent,belief,policy,budget_per_day,stratum_type,stratum,n_questions,task_accuracy,belief_accuracy,attention_gap,mean_budget_per_question,mean_budget_per_day
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,overall,all,308,0.5551948051948052,0.7032085561497327,-0.14801375095492741,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,blanket,2,1.0,1.0,0.0,0.0,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,book,36,0.6111111111111112,0.6111111111111112,0.0,0.027777777777777776,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,bowl,26,0.2692307692307692,0.6346153846153846,-0.36538461538461536,0.07692307692307693,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,headphones,26,0.6538461538461539,0.6538461538461539,0.0,0.07692307692307693,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,jacket,28,0.7142857142857143,0.7142857142857143,0.0,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,keys,18,1.0,1.0,0.0,0.05555555555555555,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,mug,62,0.532258064516129,0.5483870967741935,-0.016129032258064502,0.08064516129032258,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,phone,16,0.625,0.625,0.0,0.1875,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,plate,24,0.25,0.25,0.0,0.041666666666666664,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,remote,9,0.5555555555555556,0.5555555555555556,0.0,0.1111111111111111,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,umbrella,1,1.0,1.0,0.0,0.0,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,wallet,12,1.0,1.0,0.0,0.0,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,water_bottle,48,0.375,0.375,0.0,0.08333333333333333,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,3,28,0.8214285714285714,0.7415966386554622,0.07983193277310918,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,4,28,0.5357142857142857,0.6911764705882353,-0.15546218487394958,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,5,28,0.5357142857142857,0.707983193277311,-0.17226890756302526,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,6,28,0.5357142857142857,0.6113445378151261,-0.0756302521008404,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,7,28,0.5714285714285714,0.6449579831932774,-0.07352941176470595,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,8,28,0.75,0.7878151260504201,-0.037815126050420145,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,9,28,0.5,0.7142857142857143,-0.2142857142857143,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,10,28,0.42857142857142855,0.7247899159663865,-0.296218487394958,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,11,28,0.35714285714285715,0.6638655462184874,-0.3067226890756302,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,12,28,0.6785714285714286,0.7668067226890757,-0.08823529411764708,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,13,28,0.39285714285714285,0.680672268907563,-0.2878151260504202,0.07142857142857142,2.0
LastObservation+NeverSense,LastObservation,NeverSense,2,overall,all,308,0.5,0.6932773109243697,-0.19327731092436973,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,blanket,2,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,book,36,0.6111111111111112,0.6111111111111112,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,bowl,26,0.6538461538461539,0.8269230769230769,-0.17307692307692302,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,headphones,26,0.6538461538461539,0.6538461538461539,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,jacket,28,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,keys,18,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,mug,62,0.20967741935483872,0.2903225806451613,-0.08064516129032259,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,phone,16,0.625,0.625,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,plate,24,0.20833333333333334,0.20833333333333334,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,remote,9,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,umbrella,1,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,wallet,12,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,water_bottle,48,0.3125,0.3125,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,3,28,0.8214285714285714,0.726890756302521,0.09453781512605042,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,4,28,0.2857142857142857,0.5987394957983193,-0.3130252100840336,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,5,28,0.35714285714285715,0.5336134453781513,-0.1764705882352941,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,6,28,0.5,0.680672268907563,-0.18067226890756305,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,7,28,0.5714285714285714,0.6113445378151261,-0.0399159663865547,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,8,28,0.75,0.7962184873949579,-0.04621848739495793,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,9,28,0.35714285714285715,0.7857142857142857,-0.42857142857142855,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,10,28,0.6071428571428571,0.7310924369747899,-0.12394957983193278,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,11,28,0.35714285714285715,0.6995798319327731,-0.3424369747899159,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,12,28,0.5357142857142857,0.7773109243697479,-0.24159663865546221,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,13,28,0.35714285714285715,0.6848739495798319,-0.3277310924369748,0.0,0.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,overall,all,308,0.5422077922077922,0.7200152788388082,-0.17780748663101598,0.07142857142857142,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,blanket,2,1.0,1.0,0.0,0.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,book,36,0.5555555555555556,0.5555555555555556,0.0,0.05555555555555555,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,bowl,26,0.6538461538461539,0.8269230769230769,-0.17307692307692302,0.07692307692307693,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,headphones,26,0.7307692307692307,0.7307692307692307,0.0,0.11538461538461539,2.0
