agent,belief,policy,budget_per_day,stratum_type,stratum,n_questions,task_accuracy,belief_accuracy,attention_gap,mean_budget_per_question,mean_budget_per_day
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,overall,all,308,0.7337662337662337,0.7133307868601986,0.02043544690603516,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,blanket,13,1.0,1.0,0.0,0.15384615384615385,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,book,16,0.625,0.625,0.0,0.0625,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,bowl,30,0.7666666666666667,0.7,0.06666666666666676,0.03333333333333333,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,charger,14,1.0,1.0,0.0,0.0,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,headphones,29,0.4827586206896552,0.4827586206896552,0.0,0.0,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,jacket,21,0.8095238095238095,0.8095238095238095,0.0,0.14285714285714285,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,keys,16,1.0,1.0,0.0,0.0625,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,medication_bottle,20,1.0,1.0,0.0,0.05,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,mug,34,0.5,0.5147058823529411,-0.014705882352941124,0.058823529411764705,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,phone,16,0.875,0.875,0.0,0.25,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,plate,19,0.5263157894736842,0.5263157894736842,0.0,0.10526315789473684,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,remote,17,0.5294117647058824,0.5294117647058824,0.0,0.0,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,umbrella,20,1.0,1.0,0.0,0.1,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,wallet,26,1.0,1.0,0.0,0.038461538461538464,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,water_bottle,17,0.17647058823529413,0.17647058823529413,0.0,0.11764705882352941,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,3,28,0.8571428571428571,0.773109243697479,0.08403361344537807,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,4,28,0.7142857142857143,0.7058823529411765,0.008403361344537785,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,5,28,0.7857142857142857,0.7058823529411765,0.07983193277310918,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,6,28,0.6785714285714286,0.6365546218487395,0.04201680672268915,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,7,28,0.75,0.7310924369747899,0.018907563025210128,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,8,28,0.7857142857142857,0.7584033613445378,0.027310924369747913,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,9,28,0.7857142857142857,0.7331932773109243,0.05252100840336138,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,10,28,0.6785714285714286,0.6722689075630253,0.006302521008403339,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,11,28,0.7142857142857143,0.6890756302521008,0.025210084033613467,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,12,28,0.75,0.7647058823529411,-0.014705882352941124,0.07142857142857142,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,13,28,0.5714285714285714,0.6764705882352942,-0.10504201680672276,0.07142857142857142,2.0
LastObservation+NeverSense,LastObservation,NeverSense,2,overall,all,308,0.724025974025974,0.7041634835752483,0.019862490450725745,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,blanket,13,1.0,1.0,0.0,0.0,0.0
