agent,belief,policy,budget_per_day,stratum_type,stratum,n_questions,task_accuracy,belief_accuracy,attention_gap,mean_budget_per_question,mean_budget_per_day
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,overall,all,1620,0.5839506172839506,0.5896151053013798,-0.005664488017429248,0.03641975308641975,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,blanket,97,0.6907216494845361,0.6907216494845361,0.0,0.041237113402061855,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,book,95,0.5578947368421052,0.5578947368421052,0.0,0.05263157894736842,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,bowl,189,0.6296296296296297,0.6296296296296297,0.0,0.031746031746031744,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,charger,94,1.0,1.0,0.0,0.010638297872340425,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,headphones,97,0.5670103092783505,0.5670103092783505,0.0,0.05154639175257732,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,jacket,94,0.35106382978723405,0.35106382978723405,0.0,0.02127659574468085,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,keys,98,0.32653061224489793,0.32653061224489793,0.0,0.061224489795918366,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,medication_bottle,94,1.0,1.0,0.0,0.010638297872340425,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,mug,191,0.6544502617801047,0.6335078534031413,0.020942408376963373,0.03664921465968586,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,phone,94,0.48936170212765956,0.48936170212765956,0.0,0.0425531914893617,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,plate,94,0.6702127659574468,0.6702127659574468,0.0,0.031914893617021274,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,remote,96,0.46875,0.46875,0.0,0.052083333333333336,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,umbrella,96,0.6458333333333334,0.6458333333333334,0.0,0.010416666666666666,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,wallet,94,0.3191489361702128,0.3191489361702128,0.0,0.0425531914893617,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,object_class,water_bottle,97,0.28865979381443296,0.28865979381443296,0.0,0.05154639175257732,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,3,90,0.6666666666666666,0.7176470588235294,-0.050980392156862786,0.044444444444444446,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,4,90,0.5666666666666667,0.5718954248366013,-0.005228758169934622,0.044444444444444446,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,5,90,0.43333333333333335,0.44901960784313727,-0.01568627450980392,0.03333333333333333,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,6,90,0.6111111111111112,0.6418300653594772,-0.030718954248366015,0.03333333333333333,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,7,90,0.8777777777777778,0.8490196078431372,0.02875816993464053,0.03333333333333333,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,8,90,0.5666666666666667,0.5352941176470588,0.03137254901960784,0.03333333333333333,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,9,90,0.4222222222222222,0.5058823529411764,-0.08366013071895423,0.03333333333333333,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,10,90,0.45555555555555555,0.5026143790849673,-0.047058823529411764,0.03333333333333333,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,11,90,0.5555555555555556,0.5549019607843138,0.0006535947712418277,0.044444444444444446,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,12,90,0.5777777777777777,0.6137254901960785,-0.03594771241830075,0.022222222222222223,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,13,90,0.8,0.7398692810457517,0.060130718954248374,0.044444444444444446,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,14,90,0.7333333333333333,0.7045751633986929,0.02875816993464042,0.03333333333333333,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,15,90,0.6,0.5849673202614379,0.015032679738562038,0.044444444444444446,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,16,90,0.6,0.5947712418300654,0.005228758169934622,0.03333333333333333,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,17,90,0.6111111111111112,0.5575163398692811,0.0535947712418301,0.03333333333333333,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,18,90,0.4444444444444444,0.45359477124183006,-0.009150326797385644,0.044444444444444446,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,19,90,0.43333333333333335,0.45816993464052286,-0.02483660130718951,0.022222222222222223,3.2777777777777777
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",24,day_index,20,90,0.5555555555555556,0.5777777777777777,-0.022222222222222143,0.044444444444444446,3.2777777777777777
LastObservation+NeverSense,LastObservation,NeverSense,24,overall,all,1620,0.5796296296296296,0.5869281045751634,-0.007298474945533817,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,blanket,97,0.5670103092783505,0.5670103092783505,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,book,95,0.5157894736842106,0.5157894736842106,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,bowl,189,0.6931216931216931,0.6931216931216931,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,charger,94,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,headphones,97,0.5463917525773195,0.5463917525773195,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,jacket,94,0.35106382978723405,0.35106382978723405,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,keys,98,0.23469387755102042,0.23469387755102042,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,medication_bottle,94,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,mug,191,0.612565445026178,0.5968586387434555,0.015706806282722585,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,phone,94,0.4787234042553192,0.4787234042553192,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,plate,94,0.648936170212766,0.648936170212766,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,remote,96,0.4791666666666667,0.4791666666666667,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,umbrella,96,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,wallet,94,0.48936170212765956,0.48936170212765956,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,object_class,water_bottle,97,0.28865979381443296,0.28865979381443296,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,day_index,3,90,0.6555555555555556,0.7111111111111111,-0.05555555555555558,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,24,day_index,4,90,0.5777777777777777,0.5732026143790849,0.004575163398692794,0.0,0.0
