agent,belief,policy,budget_per_day,stratum_type,stratum,n_questions,task_accuracy,belief_accuracy,attention_gap,mean_budget_per_question,mean_budget_per_day
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,overall,all,12,0.75,0.75,0.0,0.5,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,keys,6,0.5,0.5,0.0,1.0,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,laptop,3,1.0,1.0,0.0,0.0,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,mug,3,1.0,1.0,0.0,0.0,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,4,4,0.75,0.75,0.0,0.5,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,5,4,0.75,0.75,0.0,0.5,2.0
"LastObservation+FixedSchedule(k=6.0h,n_rot=4)",LastObservation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,6,4,0.75,0.75,0.0,0.5,2.0
LastObservation+NeverSense,LastObservation,NeverSense,2,overall,all,12,0.75,0.75,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,keys,6,0.5,0.5,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,laptop,3,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,object_class,mug,3,1.0,1.0,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,4,4,0.75,0.75,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,5,4,0.75,0.75,0.0,0.0,0.0
LastObservation+NeverSense,LastObservation,NeverSense,2,day_index,6,4,0.75,0.75,0.0,0.0,0.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,overall,all,12,0.75,0.9166666666666666,-0.16666666666666663,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,keys,6,0.5,0.5,0.0,0.6666666666666666,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,laptop,3,1.0,1.0,0.0,0.0,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,object_class,mug,3,1.0,1.0,0.0,0.6666666666666666,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,4,4,0.75,0.9166666666666666,-0.16666666666666663,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,5,4,0.75,0.9166666666666666,-0.16666666666666663,0.5,2.0
LastObservation+SequentialSearch,LastObservation,SequentialSearch,2,day_index,6,4,0.75,0.9166666666666666,-0.16666666666666663,0.5,2.0
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,overall,all,12,0.5833333333333334,0.5833333333333334,0.0,0.5,2.0
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,keys,6,0.5,0.5,0.0,1.0,2.0
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,laptop,3,0.3333333333333333,0.3333333333333333,0.0,0.0,2.0
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,object_class,mug,3,1.0,1.0,0.0,0.0,2.0
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,4,4,0.5,0.5,0.0,0.5,2.0
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,5,4,0.75,0.75,0.0,0.5,2.0
"MostFrequentLocation+FixedSchedule(k=6.0h,n_rot=4)",MostFrequentLocation,"FixedSchedule(k=6.0h,n_rot=4)",2,day_index,6,4,0.5,0.5,0.0,0.5,2.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,overall,all,12,0.5,0.4166666666666667,0.08333333333333331,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,keys,6,0.5,0.5,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,laptop,3,0.0,0.0,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,object_class,mug,3,1.0,1.0,0.0,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,4,4,0.5,0.4166666666666667,0.08333333333333331,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,5,4,0.5,0.4166666666666667,0.08333333333333331,0.0,0.0
MostFrequentLocation+NeverSense,MostFrequentLocation,NeverSense,2,day_index,6,4,0.5,0.4166666666666667,0.08333333333333331,0.0,0.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,overall,all,12,0.75,0.9166666666666666,-0.16666666666666663,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,keys,6,0.5,0.5,0.0,0.6666666666666666,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,laptop,3,1.0,1.0,0.0,0.0,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,object_class,mug,3,1.0,1.0,0.0,0.6666666666666666,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,4,4,0.75,0.9166666666666666,-0.16666666666666663,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,5,4,0.75,0.9166666666666666,-0.16666666666666663,0.5,2.0
MostFrequentLocation+SequentialSearch,MostFrequentLocation,SequentialSearch,2,day_index,6,4,0.75,0.9166666666666666,-0.16666666666666663,0.5,2.0
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,overall,all,12,0.75,0.6388888888888888,0.11111111111111116,0.5,2.0
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,object_class,keys,6,0.8333333333333334,0.8333333333333334,0.0,1.0,2.0
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,object_class,laptop,3,0.3333333333333333,0.3333333333333333,0.0,0.0,2.0
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,object_class,mug,3,1.0,1.0,0.0,0.0,2.0
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,day_index,4,4,0.75,0.5833333333333334,0.16666666666666663,0.5,2.0
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,day_index,5,4,0.75,0.75,0.0,0.5,2.0
"TimetableLookup(bin=1h,days=all)+FixedSchedule(k=6.0h,n_rot=4)","TimetableLookup(bin=1h,days=all)","FixedSchedule(k=6.0h,n_rot=4)",2,day_index,6,4,0.75,0.5833333333333334,0.16666666666666663,0.5,2.0
"TimetableLookup(bin=1h,days=all)+NeverSense","TimetableLookup(bin=1h,days=all)",NeverSense,2,overall,all,12,0.75,0.5,0.25,0.0,0.0
"TimetableLookup(bin=1h,days=all)+NeverSense","TimetableLookup(bin=1h,days=all)",NeverSense,2,object_class,keys,6,1.0,1.0,0.0,0.0,0.0
"TimetableLookup(bin=1h,days=all)+NeverSense","TimetableLookup(bin=1h,days=all)",NeverSense,2,object_class,laptop,3,0.0,0.0,0.0,0.0,0.0
"TimetableLookup(bin=1h,days=all)+NeverSense","TimetableLookup(bin=1h,days=all)",NeverSense,2,object_class,mug,3,1.0,1.0,0.0,0.0,0.0
"TimetableLookup(bin=1h,days=all)+NeverSense","TimetableLookup(bin=1h,days=all)",NeverSense,2,day_index,4,4,0.75,0.5,0.25,0.0,0.0
"TimetableLookup(bin=1h,days=all)+NeverSense","TimetableLookup(bin=1h,days=all)",NeverSense,2,day_index,5,4,0.75,0.5,0.25,0.0,0.0
"TimetableLookup(bin=1h,days=all)+NeverSense","TimetableLookup(bin=1h,days=all)",NeverSense,2,day_index,6,4,0.75,0.5,0.25,0.0,0.0
"TimetableLookup(bin=1h,days=all)+SequentialSearch","TimetableLookup(bin=1h,days=all)",SequentialSearch,2,overall,all,12,1.0,1.0,0.0,0.5,2.0
"TimetableLookup(bin=1h,days=all)+SequentialSearch","TimetableLookup(bin=1h,days=all)",SequentialSearch,2,object_class,keys,6,1.0,1.0,0.0,0.5,2.0
"TimetableLookup(bin=1h,days=all)+SequentialSearch","TimetableLookup(bin=1h,days=all)",SequentialSearch,2,object_class,laptop,3,1.0,1.0,0.0,0.0,2.0
"TimetableLookup(bin=1h,days=all)+SequentialSearch","TimetableLookup(bin=1h,days=all)",SequentialSearch,2,object_class,mug,3,1.0,1.0,0.0,1.0,2.0
"TimetableLookup(bin=1h,days=all)+SequentialSearch","TimetableLookup(bin=1h,days=all)",SequentialSearch,2,day_index,4,4,1.0,1.0,0.0,0.5,2.0
"TimetableLookup(bin=1h,days=all)+SequentialSearch","TimetableLookup(bin=1h,days=all)",SequentialSearch,2,day_index,5,4,1.0,1.0,0.0,0.5,2.0
"TimetableLookup(bin=1h,days=all)+SequentialSearch","TimetableLookup(bin=1h,days=all)",SequentialSearch,2,day_index,6,4,1.0,1.0,0.0,0.5,2.0
